family,importance,mean_conv
adverbs,intermediate,0.015873015873015876
adverbs,major,-0.02631578947368421
adverbs,minor,0.0
articles,intermediate,0.024999999999999994
articles,major,-0.0008994708994708926
articles,minor,0.0
auxiliary_verbs,intermediate,-0.00388888888888889
auxiliary_verbs,major,-0.0005555555555555591
auxiliary_verbs,minor,0.0
conjunctions,intermediate,0.022727272727272728
conjunctions,major,-0.006641604010025068
conjunctions,minor,0.0
impersonal_pronouns,intermediate,0.025
impersonal_pronouns,major,0.0006944444444444475
impersonal_pronouns,minor,0.0
negations,intermediate,0.05208333333333333
negations,major,-0.04351851851851852
negations,minor,0.0
personal_pronouns,intermediate,0.0
personal_pronouns,major,0.0
personal_pronouns,minor,0.0
prepositions,intermediate,0.011111111111111115
prepositions,major,0.005555555555555558
prepositions,minor,0.0
quantifiers,intermediate,3.7007434154171884e-18
quantifiers,major,0.02495039682539682
quantifiers,minor,0.0
