family,importance,mean_conv
adverbs,intermediate,-0.016101731601731607
adverbs,major,-0.007976659200454202
adverbs,minor,-0.026666666666666682
articles,intermediate,0.051679416910509354
articles,major,-0.018228585711854137
articles,minor,0.0
auxiliary_verbs,intermediate,-0.0004102564102564088
auxiliary_verbs,major,0.0026074662200213585
auxiliary_verbs,minor,0.0
conjunctions,intermediate,0.01616340062195678
conjunctions,major,-0.012247890937221355
conjunctions,minor,0.0
impersonal_pronouns,intermediate,-0.011256285245255841
impersonal_pronouns,major,0.002166198831449683
impersonal_pronouns,minor,0.0
negations,intermediate,-0.024778871603737918
negations,major,-0.02909127071843914
negations,minor,-0.08333333333333334
personal_pronouns,intermediate,0.0021324354657688005
personal_pronouns,major,0.001832699761798891
personal_pronouns,minor,-0.00833333333333334
prepositions,intermediate,-0.002844028520499111
prepositions,major,-0.006319773007410683
prepositions,minor,0.0
quantifiers,intermediate,0.031537942812452605
quantifiers,major,-0.03468606501614824
quantifiers,minor,0.0
