family,importance,mean_conv
adverbs,intermediate,-0.006606583322269595
adverbs,major,0.016304145735604215
adverbs,minor,0.125
articles,intermediate,-0.0012470017904800523
articles,major,0.004909861561525888
articles,minor,0.25
auxiliary_verbs,intermediate,-0.0019345238095238107
auxiliary_verbs,major,0.0032092516064706387
auxiliary_verbs,minor,0.0
conjunctions,intermediate,0.001424891375871768
conjunctions,major,0.014206388379472643
conjunctions,minor,0.0
impersonal_pronouns,intermediate,0.021173490057179885
impersonal_pronouns,major,0.03921383422952909
impersonal_pronouns,minor,0.08333333333333331
negations,intermediate,0.00887940490881666
negations,major,0.02302509091165515
negations,minor,0.08333333333333333
personal_pronouns,intermediate,0.005104463437796769
personal_pronouns,major,0.004690906000714338
personal_pronouns,minor,0.0
prepositions,intermediate,-0.004009765328042635
prepositions,major,0.012829830916402492
prepositions,minor,0.0
quantifiers,intermediate,-0.011199491019752468
quantifiers,major,0.026938908056133862
quantifiers,minor,-0.041666666666666685
