family,importance,mean_conv
adverbs,intermediate,-0.013157894736842105
adverbs,major,0.0036231884057971032
adverbs,minor,0.0
articles,intermediate,-3.2653618371328133e-18
articles,major,0.025605680868838767
articles,minor,0.0
auxiliary_verbs,intermediate,-0.0034722222222222238
auxiliary_verbs,major,-0.0016460905349794262
auxiliary_verbs,minor,0.0
conjunctions,intermediate,-0.0037878787878787897
conjunctions,major,0.024060150375939848
conjunctions,minor,0.0
impersonal_pronouns,intermediate,-0.020833333333333332
impersonal_pronouns,major,0.04431216931216932
impersonal_pronouns,minor,0.0
negations,intermediate,0.05
negations,major,-0.0368421052631579
negations,minor,0.0
personal_pronouns,intermediate,0.0
personal_pronouns,major,0.0
personal_pronouns,minor,0.0
prepositions,intermediate,0.0
prepositions,major,0.01644444444444445
prepositions,minor,0.0
quantifiers,intermediate,0.006410256410256417
quantifiers,major,0.017548500881834208
quantifiers,minor,0.0
