family,importance,mean_conv
adverbs,intermediate,-0.004081944325157003
adverbs,major,0.0006554524654866778
adverbs,minor,-0.02777777777777779
articles,intermediate,0.016803394911683676
articles,major,-0.018903941789075108
articles,minor,0.0
auxiliary_verbs,intermediate,0.0003719494790923396
auxiliary_verbs,major,0.002988662879769962
auxiliary_verbs,minor,0.0
conjunctions,intermediate,0.014825646167557919
conjunctions,major,0.006336414245633205
conjunctions,minor,0.125
impersonal_pronouns,intermediate,-0.013018129746070929
impersonal_pronouns,major,-0.00039919647560444715
impersonal_pronouns,minor,0.25
negations,intermediate,-0.006830079457084807
negations,major,-0.0011773829723198857
negations,minor,0.25
personal_pronouns,intermediate,-0.0019770408163265313
personal_pronouns,major,0.001102809505055639
personal_pronouns,minor,0.0
prepositions,intermediate,-0.0003073315573315617
prepositions,major,-0.0031838716429769764
prepositions,minor,0.0
quantifiers,intermediate,0.008965059087608106
quantifiers,major,-0.018325296540242345
quantifiers,minor,0.0
