character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Julia Bertram,3,1,0.1261904761904761,0.0,0.0,0.0,F,intermediate
Mrs. Norris,5,7,0.122456072210974,0.10143120768120731,0.2,0.2,F,intermediate
Tom Bertram,5,5,0.10707070707070679,0.0600588837685611,0.12083333333333333,0.225,M,intermediate
Henry Crawford,7,7,0.1018831572468201,0.1055293606353551,0.15958333333333333,0.37916666666666665,M,major
Fanny Price,10,10,0.0984374217009126,0.2461370873048181,0.420625,0.45416666666666666,F,major
Edmund,7,8,0.09548508239178691,0.1637974351004659,0.14562499999999998,0.275,M,major
Maria Bertram,3,4,0.08688941105937739,0.019444444444444306,0.020902777777777777,0.016666666666666666,F,intermediate
Mary Crawford,5,5,0.08210990619773459,0.0678638926884013,0.04284722222222223,0.15,F,major
Lady Bertram,5,4,0.0671009061379958,0.07780866605252554,0.036458333333333336,0.17916666666666667,F,intermediate
William Price,2,1,0.0457142857142857,0.0333333333333333,0.0,0.0,M,minor
Sir Thomas,3,4,0.04340704340704332,0.0336475523943422,0.023958333333333328,0.0,M,intermediate
Mrs. Grant,2,2,0.0215777539085809,0.0058045440398381,0.0,0.0,F,intermediate
Mrs. Rushworth,1,1,0.0142857142857142,0.0625,0.0,0.0,F,minor
Mr. Rushworth,1,1,0.0095238095238095,0.0068965517241379,0.0,0.0,M,intermediate
Mr. Price,1,1,0.0,0.0,0.0,0.0,M,minor
Mr. Yates,1,1,0.0,0.0378787878787878,0.0,0.0,M,minor
_unknowable,1,0,0.0,0.0,0.0,0.0,M,minor
