a_speaker,b_speaker,w_ab,w_ba
Edmund,Fanny Price,0.0069945654969055,0.0062111801242235
Edmund,Henry Crawford,0.0072115384615384,0.0478873239436619
Edmund,Lady Bertram,0.0542740841248303,-0.0095137420718816
Edmund,Maria Bertram,-3.828355257328126e-18,0.0524781341107871
Edmund,Mary Crawford,-0.0066675927212112,-0.0041950113378684
Edmund,Mrs. Norris,-0.0104166666666666,0.0384615384615384
Edmund,Tom Bertram,0.0099206349206349,0.005050505050505
Fanny Price,Edmund,0.0062111801242235,0.0069945654969055
Fanny Price,Henry Crawford,0.0152155536770921,0.0103578154425612
Fanny Price,Lady Bertram,0.0097560975609756,0.0100806451612903
Fanny Price,Mary Crawford,0.0053304904051172,-0.0174074074074074
Fanny Price,Mr. Price,0.0,0.0
Fanny Price,Mr. Rushworth,-0.0068965517241379,-0.0095238095238095
Fanny Price,Sir Thomas,-0.021694214876033,0.0377252252252252
Fanny Price,Tom Bertram,0.0,0.0
Fanny Price,William Price,0.0333333333333333,0.0457142857142857
Henry Crawford,Edmund,0.0478873239436619,0.0072115384615384
Henry Crawford,Fanny Price,0.0103578154425612,0.0152155536770921
Henry Crawford,Maria Bertram,0.0015873015873015,0.0066334991708126
Henry Crawford,Mary Crawford,0.0269184411410204,0.0196969696969696
Henry Crawford,Mrs. Grant,-0.0037037037037037,0.0204081632653061
Henry Crawford,Tom Bertram,-0.0114285714285714,-0.0363636363636363
Lady Bertram,Edmund,-0.0095137420718816,0.0542740841248303
Lady Bertram,Fanny Price,0.0100806451612903,0.0097560975609756
Lady Bertram,Mrs. Norris,-0.0432692307692307,0.0137784843667196
Lady Bertram,Sir Thomas,-0.0042372881355932,-2.3373116307898028e-17
Maria Bertram,Edmund,0.0524781341107871,-3.828355257328126e-18
Maria Bertram,Henry Crawford,0.0066334991708126,0.0015873015873015
Maria Bertram,Mrs. Norris,-0.0277777777777777,0.0
Mary Crawford,Edmund,-0.0041950113378684,-0.0066675927212112
Mary Crawford,Fanny Price,-0.0174074074074074,0.0053304904051172
Mary Crawford,Henry Crawford,0.0196969696969696,0.0269184411410204
Mary Crawford,Mrs. Grant,0.0021008403361344,0.0011695906432748
Mary Crawford,Tom Bertram,0.0387096774193548,-0.0277777777777777
Mr. Price,Fanny Price,0.0,0.0
Mr. Rushworth,Fanny Price,-0.0095238095238095,-0.0068965517241379
Mr. Yates,Tom Bertram,0.0,0.0378787878787878
Mrs. Grant,Henry Crawford,0.0204081632653061,-0.0037037037037037
Mrs. Grant,Mary Crawford,0.0011695906432748,0.0021008403361344
Mrs. Norris,Edmund,0.0384615384615384,-0.0104166666666666
Mrs. Norris,Lady Bertram,0.0137784843667196,-0.0432692307692307
Mrs. Norris,Maria Bertram,0.0,-0.0277777777777777
Mrs. Norris,Mrs. Rushworth,0.0625,0.0142857142857142
Mrs. Norris,Sir Thomas,-0.007716049382716,0.0056818181818181
Mrs. Rushworth,Mrs. Norris,0.0142857142857142,0.0625
Sir Thomas,Fanny Price,0.0377252252252252,-0.021694214876033
Sir Thomas,Lady Bertram,-2.3373116307898028e-17,-0.0042372881355932
Sir Thomas,Mrs. Norris,0.0056818181818181,-0.007716049382716
Tom Bertram,Edmund,0.005050505050505,0.0099206349206349
Tom Bertram,Fanny Price,0.0,0.0
Tom Bertram,Henry Crawford,-0.0363636363636363,-0.0114285714285714
Tom Bertram,Mary Crawford,-0.0277777777777777,0.0387096774193548
Tom Bertram,Mr. Yates,0.0378787878787878,0.0
William Price,Fanny Price,0.0457142857142857,0.0333333333333333
