uid,pair_id,side,text
p00000_A,00000,A,i think we cannot do better let us send for the child
p00001_A,00001,A,there is a great deal of truth in what you say and far be it from me to throw any fanciful impediment in the way of a plan which would be so consistent with the relative situations of each i only meant to observe that it ought not to be lightly engaged in and that to make it really serviceable to mrs price and creditable to ourselves we must secure to the child or consider ourselves engaged to secure to her hereafter as circumstances may arise the provision of a gentlewoman if no such establishment should offer as you are so sanguine in expecting
p00002_A,00002,A,i thoroughly understand you you are everything that is generous and considerate and i am sure we shall never disagree on this point whatever i can do as you well know i am always ready enough to do for the good of those i love and though i could never feel for this little girl the hundredth part of the regard i bear your own dear children nor consider her in any respect so much my own i should hate myself if i were capable of neglecting her is not she a sister s child and could i bear to see her want while i had a bit of bread to give her my dear sir thomas with all my faults i have a warm heart and poor as i am would rather deny myself the necessaries of life than do an ungenerous thing so if you are not against it i will write to my poor sister tomorrow and make the proposal and as soon as matters are settled i will engage to get the child to mansfield you shall have no trouble about it my own trouble you know i never regard i will send nanny to london on purpose and she may have a bed at her cousin the saddler s and the child be appointed to meet her there they may easily get her from portsmouth to town by the coach under the care of any creditable person that may chance to be going i dare say there is always some reputable tradesman s wife or other going up
p00003_A,00003,A,where shall the child come to first sister to you or to us then she had better come to us
p00004_A,00004,A,should her disposition be really bad we must not for our own children s sake continue her in the family but there is no reason to expect so great an evil we shall probably see much to wish altered in her and must prepare ourselves for gross ignorance some meanness of opinions and very distressing vulgarity of manner but these are not incurable faults nor i trust can they be dangerous for her associates had my daughters been younger than herself i should have considered the introduction of such a companion as a matter of very serious moment but as it is i hope there can be nothing to fear for them and everything to hope for her from the association
p00005_A,00005,A,that is exactly what i think and what i was saying to my husband this morning it will be an education for the child said i only being with her cousins if miss lee taught her nothing she would learn to be good and clever from them
p00006_A,00006,A,i hope she will not tease my poor pug i have but just got julia to leave it alone
p00007_A,00007,A,fanny was good natured enough
p00008_A,00008,A,to be sure my dear that is very stupid indeed and shows a great want of genius and emulation but all things considered i do not know whether it is not as well that it should be so for though you know owing to me your papa and mama are so good as to bring her up with you it is not at all necessary that she should be as accomplished as you are on the contrary it is much more desirable that there should be a difference
p00009_A,00009,A,my dear sister if you can persuade him into anything of the sort it will be a fresh matter of delight to me to find myself allied to anybody so clever and i shall only regret that you have not half a dozen daughters to dispose of if you can persuade henry to marry you must have the address of a frenchwoman all that english abilities can do has been tried already i have three very particular friends who have been all dying for him in their turn and the pains which they their mothers very clever women as well as my dear aunt and myself have taken to reason coax or trick him into marrying is inconceivable he is the most horrible flirt that can be imagined if your miss bertrams do not like to have their hearts broke let them avoid henry
