A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
Lady Bertram,Mrs. Norris,0,1,i think we cannot do better let us send for the child,my dear sir thomas i perfectly comprehend you and do justice to the generosity and delicacy of your notions which indeed are quite of a piece with your general conduct and i entirely agree with you in the main as to the propriety of doing everything one could by way of providing for a child one had in a manner taken into one s own hands and i am sure i should be the last person in the world to withhold my mite upon such an occasion having no children of my own who should i look to in any little matter i may ever have to bestow but the children of my sisters and i am sure mr norris is too just but you know i am a woman of few words and professions do not let us be frightened from a good deed by a trifle give a girl an education and introduce her properly into the world and ten to one but she has the means of settling well without farther expense to anybody a niece of ours sir thomas i may say or at least of yours would not grow up in this neighbourhood without many advantages i don t say she would be so handsome as her cousins i dare say she would not but she would be introduced into the society of this country under such very favourable circumstances as in all human probability would get her a creditable establishment you are thinking of your sons but do not you know that of all things upon earth that is the least likely to happen brought up as they would be always together like brothers and sisters it is morally impossible i never knew an instance of it it is in fact the only sure way of providing against the connexion suppose her a pretty girl and seen by tom or edmund for the first time seven years hence and i dare say there would be mischief the very idea of her having been suffered to grow up at a distance from us all in poverty and neglect would be enough to make either of the dear sweet tempered boys in love with her but breed her up with them from this time and suppose her even to have the beauty of an angel and she will never be more to either than a sister,Mrs. Norris; Sir Thomas,F,intermediate,F,intermediate
Mrs. Norris,Sir Thomas,1,2,my dear sir thomas i perfectly comprehend you and do justice to the generosity and delicacy of your notions which indeed are quite of a piece with your general conduct and i entirely agree with you in the main as to the propriety of doing everything one could by way of providing for a child one had in a manner taken into one s own hands and i am sure i should be the last person in the world to withhold my mite upon such an occasion having no children of my own who should i look to in any little matter i may ever have to bestow but the children of my sisters and i am sure mr norris is too just but you know i am a woman of few words and professions do not let us be frightened from a good deed by a trifle give a girl an education and introduce her properly into the world and ten to one but she has the means of settling well without farther expense to anybody a niece of ours sir thomas i may say or at least of yours would not grow up in this neighbourhood without many advantages i don t say she would be so handsome as her cousins i dare say she would not but she would be introduced into the society of this country under such very favourable circumstances as in all human probability would get her a creditable establishment you are thinking of your sons but do not you know that of all things upon earth that is the least likely to happen brought up as they would be always together like brothers and sisters it is morally impossible i never knew an instance of it it is in fact the only sure way of providing against the connexion suppose her a pretty girl and seen by tom or edmund for the first time seven years hence and i dare say there would be mischief the very idea of her having been suffered to grow up at a distance from us all in poverty and neglect would be enough to make either of the dear sweet tempered boys in love with her but breed her up with them from this time and suppose her even to have the beauty of an angel and she will never be more to either than a sister,there is a great deal of truth in what you say and far be it from me to throw any fanciful impediment in the way of a plan which would be so consistent with the relative situations of each i only meant to observe that it ought not to be lightly engaged in and that to make it really serviceable to mrs price and creditable to ourselves we must secure to the child or consider ourselves engaged to secure to her hereafter as circumstances may arise the provision of a gentlewoman if no such establishment should offer as you are so sanguine in expecting,Lady Bertram; Sir Thomas,F,intermediate,M,intermediate
Sir Thomas,Mrs. Norris,2,3,there is a great deal of truth in what you say and far be it from me to throw any fanciful impediment in the way of a plan which would be so consistent with the relative situations of each i only meant to observe that it ought not to be lightly engaged in and that to make it really serviceable to mrs price and creditable to ourselves we must secure to the child or consider ourselves engaged to secure to her hereafter as circumstances may arise the provision of a gentlewoman if no such establishment should offer as you are so sanguine in expecting,i thoroughly understand you you are everything that is generous and considerate and i am sure we shall never disagree on this point whatever i can do as you well know i am always ready enough to do for the good of those i love and though i could never feel for this little girl the hundredth part of the regard i bear your own dear children nor consider her in any respect so much my own i should hate myself if i were capable of neglecting her is not she a sister s child and could i bear to see her want while i had a bit of bread to give her my dear sir thomas with all my faults i have a warm heart and poor as i am would rather deny myself the necessaries of life than do an ungenerous thing so if you are not against it i will write to my poor sister tomorrow and make the proposal and as soon as matters are settled i will engage to get the child to mansfield you shall have no trouble about it my own trouble you know i never regard i will send nanny to london on purpose and she may have a bed at her cousin the saddler s and the child be appointed to meet her there they may easily get her from portsmouth to town by the coach under the care of any creditable person that may chance to be going i dare say there is always some reputable tradesman s wife or other going up,Lady Bertram; Mrs. Norris,M,intermediate,F,intermediate
Mrs. Norris,Lady Bertram,3,4,i thoroughly understand you you are everything that is generous and considerate and i am sure we shall never disagree on this point whatever i can do as you well know i am always ready enough to do for the good of those i love and though i could never feel for this little girl the hundredth part of the regard i bear your own dear children nor consider her in any respect so much my own i should hate myself if i were capable of neglecting her is not she a sister s child and could i bear to see her want while i had a bit of bread to give her my dear sir thomas with all my faults i have a warm heart and poor as i am would rather deny myself the necessaries of life than do an ungenerous thing so if you are not against it i will write to my poor sister tomorrow and make the proposal and as soon as matters are settled i will engage to get the child to mansfield you shall have no trouble about it my own trouble you know i never regard i will send nanny to london on purpose and she may have a bed at her cousin the saddler s and the child be appointed to meet her there they may easily get her from portsmouth to town by the coach under the care of any creditable person that may chance to be going i dare say there is always some reputable tradesman s wife or other going up,where shall the child come to first sister to you or to us then she had better come to us,Lady Bertram; Sir Thomas,F,intermediate,F,intermediate
Lady Bertram,Sir Thomas,4,5,where shall the child come to first sister to you or to us then she had better come to us,yes let her home be in this house we will endeavour to do our duty by her and she will at least have the advantage of companions of her own age and of a regular instructress,Mrs. Norris; Sir Thomas,F,intermediate,M,intermediate
Sir Thomas,Mrs. Norris,5,6,yes let her home be in this house we will endeavour to do our duty by her and she will at least have the advantage of companions of her own age and of a regular instructress,very true which are both very important considerations and it will be just the same to miss lee whether she has three girls to teach or only two there can be no difference i only wish i could be more useful but you see i do all in my power i am not one of those that spare their own trouble and nanny shall fetch her however it may put me to inconvenience to have my chief counsellor away for three days i suppose sister you will put the child in the little white attic near the old nurseries it will be much the best place for her so near miss lee and not far from the girls and close by the housemaids who could either of them help to dress her you know and take care of her clothes for i suppose you would not think it fair to expect ellis to wait on her as well as the others indeed i do not see that you could possibly place her anywhere else i hope she will prove a well disposed girl and be sensible of her uncommon good fortune in having such friends,Lady Bertram; Mrs. Norris,M,intermediate,F,intermediate
Mrs. Norris,Sir Thomas,6,7,very true which are both very important considerations and it will be just the same to miss lee whether she has three girls to teach or only two there can be no difference i only wish i could be more useful but you see i do all in my power i am not one of those that spare their own trouble and nanny shall fetch her however it may put me to inconvenience to have my chief counsellor away for three days i suppose sister you will put the child in the little white attic near the old nurseries it will be much the best place for her so near miss lee and not far from the girls and close by the housemaids who could either of them help to dress her you know and take care of her clothes for i suppose you would not think it fair to expect ellis to wait on her as well as the others indeed i do not see that you could possibly place her anywhere else i hope she will prove a well disposed girl and be sensible of her uncommon good fortune in having such friends,should her disposition be really bad we must not for our own children s sake continue her in the family but there is no reason to expect so great an evil we shall probably see much to wish altered in her and must prepare ourselves for gross ignorance some meanness of opinions and very distressing vulgarity of manner but these are not incurable faults nor i trust can they be dangerous for her associates had my daughters been younger than herself i should have considered the introduction of such a companion as a matter of very serious moment but as it is i hope there can be nothing to fear for them and everything to hope for her from the association,Lady Bertram; Sir Thomas,F,intermediate,M,intermediate
Sir Thomas,Mrs. Norris,7,8,should her disposition be really bad we must not for our own children s sake continue her in the family but there is no reason to expect so great an evil we shall probably see much to wish altered in her and must prepare ourselves for gross ignorance some meanness of opinions and very distressing vulgarity of manner but these are not incurable faults nor i trust can they be dangerous for her associates had my daughters been younger than herself i should have considered the introduction of such a companion as a matter of very serious moment but as it is i hope there can be nothing to fear for them and everything to hope for her from the association,that is exactly what i think and what i was saying to my husband this morning it will be an education for the child said i only being with her cousins if miss lee taught her nothing she would learn to be good and clever from them,Lady Bertram; Mrs. Norris,M,intermediate,F,intermediate
Mrs. Norris,Lady Bertram,8,9,that is exactly what i think and what i was saying to my husband this morning it will be an education for the child said i only being with her cousins if miss lee taught her nothing she would learn to be good and clever from them,i hope she will not tease my poor pug i have but just got julia to leave it alone,Lady Bertram; Sir Thomas,F,intermediate,F,intermediate
Lady Bertram,Sir Thomas,9,10,i hope she will not tease my poor pug i have but just got julia to leave it alone,there will be some difficulty in our way mrs norris as to the distinction proper to be made between the girls as they grow up how to preserve in the minds of my daughters the consciousness of what they are without making them think too lowly of their cousin and how without depressing her spirits too far to make her remember that she is not a miss bertram i should wish to see them very good friends and would on no account authorise in my girls the smallest degree of arrogance towards their relation but still they cannot be equals their rank fortune rights and expectations will always be different it is a point of great delicacy and you must assist us in our endeavours to choose exactly the right line of conduct,Mrs. Norris; Sir Thomas,F,intermediate,M,intermediate
