a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Catherine Morland,Eleanor Tilney,adverbs,32,23,17,0.7391304347826086,0.75,-0.010869565217391353,F,major,F,intermediate
Catherine Morland,Eleanor Tilney,articles,32,22,17,0.7727272727272727,0.59375,0.1789772727272727,F,major,F,intermediate
Catherine Morland,Eleanor Tilney,auxiliary_verbs,32,26,21,0.8076923076923077,0.84375,-0.03605769230769229,F,major,F,intermediate
Catherine Morland,Eleanor Tilney,conjunctions,32,18,11,0.6111111111111112,0.53125,0.07986111111111116,F,major,F,intermediate
Catherine Morland,Eleanor Tilney,impersonal_pronouns,32,18,14,0.7777777777777778,0.625,0.1527777777777778,F,major,F,intermediate
Catherine Morland,Eleanor Tilney,negations,32,15,9,0.6,0.4375,0.16249999999999998,F,major,F,intermediate
Catherine Morland,Eleanor Tilney,personal_pronouns,32,30,25,0.8333333333333334,0.84375,-0.01041666666666663,F,major,F,intermediate
Catherine Morland,Eleanor Tilney,prepositions,32,29,21,0.7241379310344828,0.6875,0.03663793103448276,F,major,F,intermediate
Catherine Morland,Eleanor Tilney,quantifiers,32,13,9,0.6923076923076923,0.46875,0.2235576923076923,F,major,F,intermediate
Catherine Morland,General Tilney,adverbs,6,5,5,1.0,0.8333333333333334,0.16666666666666663,F,major,M,minor
Catherine Morland,General Tilney,articles,6,5,4,0.8,0.8333333333333334,-0.033333333333333326,F,major,M,minor
Catherine Morland,General Tilney,auxiliary_verbs,6,6,6,1.0,1.0,0.0,F,major,M,minor
Catherine Morland,General Tilney,conjunctions,6,4,3,0.75,0.6666666666666666,0.08333333333333337,F,major,M,minor
Catherine Morland,General Tilney,impersonal_pronouns,6,5,4,0.8,0.6666666666666666,0.13333333333333341,F,major,M,minor
Catherine Morland,General Tilney,negations,6,4,0,0.0,0.16666666666666666,-0.16666666666666666,F,major,M,minor
Catherine Morland,General Tilney,personal_pronouns,6,4,4,1.0,0.8333333333333334,0.16666666666666663,F,major,M,minor
Catherine Morland,General Tilney,prepositions,6,5,4,0.8,0.8333333333333334,-0.033333333333333326,F,major,M,minor
Catherine Morland,General Tilney,quantifiers,6,3,1,0.3333333333333333,0.5,-0.16666666666666669,F,major,M,minor
Catherine Morland,Henry Tilney,adverbs,105,83,63,0.7590361445783133,0.7619047619047619,-0.002868617326448608,F,major,M,major
Catherine Morland,Henry Tilney,articles,105,43,31,0.7209302325581395,0.7238095238095238,-0.0028792912513843083,F,major,M,major
Catherine Morland,Henry Tilney,auxiliary_verbs,105,86,80,0.9302325581395349,0.9333333333333333,-0.0031007751937984773,F,major,M,major
Catherine Morland,Henry Tilney,conjunctions,105,68,53,0.7794117647058824,0.7428571428571429,0.03655462184873948,F,major,M,major
