a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Catherine Morland,Eleanor Tilney,adverbs,7,6,6,1.0,1.0,0.0,F,major,F,intermediate
Catherine Morland,Eleanor Tilney,articles,7,5,3,0.6,0.5714285714285714,0.02857142857142858,F,major,F,intermediate
Catherine Morland,Eleanor Tilney,auxiliary_verbs,7,7,7,1.0,1.0,0.0,F,major,F,intermediate
Catherine Morland,Eleanor Tilney,conjunctions,7,6,4,0.6666666666666666,0.7142857142857143,-0.04761904761904767,F,major,F,intermediate
Catherine Morland,Eleanor Tilney,impersonal_pronouns,7,5,2,0.4,0.42857142857142855,-0.028571428571428525,F,major,F,intermediate
Catherine Morland,Eleanor Tilney,negations,7,4,1,0.25,0.42857142857142855,-0.17857142857142855,F,major,F,intermediate
Catherine Morland,Eleanor Tilney,personal_pronouns,7,6,6,1.0,1.0,0.0,F,major,F,intermediate
Catherine Morland,Eleanor Tilney,prepositions,7,7,6,0.8571428571428571,0.8571428571428571,0.0,F,major,F,intermediate
Catherine Morland,Eleanor Tilney,quantifiers,7,4,2,0.5,0.42857142857142855,0.07142857142857145,F,major,F,intermediate
Catherine Morland,Henry Tilney,adverbs,8,6,5,0.8333333333333334,0.75,0.08333333333333337,F,major,M,major
Catherine Morland,Henry Tilney,articles,8,5,3,0.6,0.75,-0.15000000000000002,F,major,M,major
Catherine Morland,Henry Tilney,auxiliary_verbs,8,8,8,1.0,1.0,0.0,F,major,M,major
Catherine Morland,Henry Tilney,conjunctions,8,8,7,0.875,0.875,0.0,F,major,M,major
Catherine Morland,Henry Tilney,impersonal_pronouns,8,5,4,0.8,0.875,-0.07499999999999996,F,major,M,major
Catherine Morland,Henry Tilney,negations,8,6,4,0.6666666666666666,0.75,-0.08333333333333337,F,major,M,major
Catherine Morland,Henry Tilney,personal_pronouns,8,7,7,1.0,1.0,0.0,F,major,M,major
Catherine Morland,Henry Tilney,prepositions,8,7,6,0.8571428571428571,0.875,-0.017857142857142905,F,major,M,major
Catherine Morland,Henry Tilney,quantifiers,8,5,3,0.6,0.625,-0.025000000000000022,F,major,M,major
Catherine Morland,Isabella Thorpe,adverbs,5,4,4,1.0,1.0,0.0,F,major,F,major
Catherine Morland,Isabella Thorpe,articles,5,3,3,1.0,1.0,0.0,F,major,F,major
Catherine Morland,Isabella Thorpe,auxiliary_verbs,5,5,5,1.0,1.0,0.0,F,major,F,major
Catherine Morland,Isabella Thorpe,conjunctions,5,3,3,1.0,1.0,0.0,F,major,F,major
Catherine Morland,Isabella Thorpe,negations,5,3,3,1.0,1.0,0.0,F,major,F,major
Catherine Morland,Isabella Thorpe,personal_pronouns,5,5,5,1.0,1.0,0.0,F,major,F,major
Catherine Morland,Isabella Thorpe,quantifiers,5,5,4,0.8,0.8,0.0,F,major,F,major
Catherine Morland,John Thorpe,adverbs,6,4,4,1.0,0.8333333333333334,0.16666666666666663,F,major,M,intermediate
Catherine Morland,John Thorpe,articles,6,5,4,0.8,0.8333333333333334,-0.033333333333333326,F,major,M,intermediate
Catherine Morland,John Thorpe,auxiliary_verbs,6,5,5,1.0,1.0,0.0,F,major,M,intermediate
Catherine Morland,John Thorpe,conjunctions,6,5,4,0.8,0.8333333333333334,-0.033333333333333326,F,major,M,intermediate
Catherine Morland,John Thorpe,impersonal_pronouns,6,5,5,1.0,1.0,0.0,F,major,M,intermediate
Catherine Morland,John Thorpe,negations,6,3,3,1.0,0.8333333333333334,0.16666666666666663,F,major,M,intermediate
Catherine Morland,John Thorpe,personal_pronouns,6,5,5,1.0,1.0,0.0,F,major,M,intermediate
Catherine Morland,John Thorpe,prepositions,6,5,5,1.0,1.0,0.0,F,major,M,intermediate
Catherine Morland,John Thorpe,quantifiers,6,4,4,1.0,0.8333333333333334,0.16666666666666663,F,major,M,intermediate
Catherine Morland,Mrs. Allen,auxiliary_verbs,3,3,3,1.0,1.0,0.0,F,major,F,intermediate
Catherine Morland,Mrs. Allen,personal_pronouns,3,3,3,1.0,1.0,0.0,F,major,F,intermediate
Eleanor Tilney,Catherine Morland,adverbs,5,5,5,1.0,1.0,0.0,F,intermediate,F,major
Eleanor Tilney,Catherine Morland,articles,5,3,2,0.6666666666666666,0.6,0.06666666666666665,F,intermediate,F,major
Eleanor Tilney,Catherine Morland,auxiliary_verbs,5,4,4,1.0,1.0,0.0,F,intermediate,F,major
Eleanor Tilney,Catherine Morland,conjunctions,5,4,4,1.0,1.0,0.0,F,intermediate,F,major
Eleanor Tilney,Catherine Morland,impersonal_pronouns,5,3,2,0.6666666666666666,0.6,0.06666666666666665,F,intermediate,F,major
Eleanor Tilney,Catherine Morland,personal_pronouns,5,5,4,0.8,0.8,0.0,F,intermediate,F,major
Eleanor Tilney,Catherine Morland,prepositions,5,5,4,0.8,0.8,0.0,F,intermediate,F,major
Eleanor Tilney,Catherine Morland,quantifiers,5,3,2,0.6666666666666666,0.6,0.06666666666666665,F,intermediate,F,major
Eleanor Tilney,Henry Tilney,adverbs,5,4,3,0.75,0.8,-0.050000000000000044,F,intermediate,M,major
Eleanor Tilney,Henry Tilney,articles,5,3,1,0.3333333333333333,0.4,-0.06666666666666671,F,intermediate,M,major
Eleanor Tilney,Henry Tilney,auxiliary_verbs,5,5,5,1.0,1.0,0.0,F,intermediate,M,major
Eleanor Tilney,Henry Tilney,conjunctions,5,4,4,1.0,1.0,0.0,F,intermediate,M,major
Eleanor Tilney,Henry Tilney,impersonal_pronouns,5,3,2,0.6666666666666666,0.8,-0.13333333333333341,F,intermediate,M,major
Eleanor Tilney,Henry Tilney,negations,5,3,2,0.6666666666666666,0.6,0.06666666666666665,F,intermediate,M,major
Eleanor Tilney,Henry Tilney,personal_pronouns,5,5,5,1.0,1.0,0.0,F,intermediate,M,major
Eleanor Tilney,Henry Tilney,prepositions,5,4,4,1.0,1.0,0.0,F,intermediate,M,major
Eleanor Tilney,Henry Tilney,quantifiers,5,3,2,0.6666666666666666,0.4,0.2666666666666666,F,intermediate,M,major
General Tilney,Catherine Morland,auxiliary_verbs,4,3,3,1.0,1.0,0.0,M,minor,F,major
General Tilney,Catherine Morland,personal_pronouns,4,3,3,1.0,1.0,0.0,M,minor,F,major
General Tilney,Catherine Morland,prepositions,4,3,3,1.0,0.75,0.25,M,minor,F,major
Henry Tilney,Catherine Morland,adverbs,12,11,9,0.8181818181818182,0.8333333333333334,-0.015151515151515138,M,major,F,major
Henry Tilney,Catherine Morland,articles,12,11,6,0.5454545454545454,0.5833333333333334,-0.037878787878787956,M,major,F,major
Henry Tilney,Catherine Morland,auxiliary_verbs,12,12,12,1.0,1.0,0.0,M,major,F,major
Henry Tilney,Catherine Morland,conjunctions,12,10,8,0.8,0.75,0.050000000000000044,M,major,F,major
Henry Tilney,Catherine Morland,impersonal_pronouns,12,12,9,0.75,0.75,0.0,M,major,F,major
Henry Tilney,Catherine Morland,negations,12,9,6,0.6666666666666666,0.5,0.16666666666666663,M,major,F,major
Henry Tilney,Catherine Morland,personal_pronouns,12,10,9,0.9,0.9166666666666666,-0.016666666666666607,M,major,F,major
Henry Tilney,Catherine Morland,prepositions,12,12,10,0.8333333333333334,0.8333333333333334,0.0,M,major,F,major
Henry Tilney,Catherine Morland,quantifiers,12,9,5,0.5555555555555556,0.5833333333333334,-0.02777777777777779,M,major,F,major
