a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Catherine Morland,Eleanor Tilney,9,7,50,-0.01719576719576719,-0.014285714285714282,F,major,F,intermediate
Catherine Morland,Henry Tilney,9,8,57,-0.029761904761904767,-0.02412280701754387,F,major,M,major
Catherine Morland,Isabella Thorpe,7,5,28,0.0,0.0,F,major,F,major
Catherine Morland,John Thorpe,9,6,41,0.048148148148148134,0.03658536585365853,F,major,M,intermediate
Catherine Morland,Mrs. Allen,2,3,6,0.0,0.0,F,major,F,intermediate
Eleanor Tilney,Catherine Morland,8,5,32,0.024999999999999994,0.018749999999999996,F,intermediate,F,major
Eleanor Tilney,Henry Tilney,9,5,34,0.009259259259259233,0.00588235294117645,F,intermediate,M,major
General Tilney,Catherine Morland,3,4,9,0.08333333333333333,0.08333333333333333,M,minor,F,major
Henry Tilney,Catherine Morland,9,12,96,0.013243546576879909,0.010416666666666666,M,major,F,major
Isabella Thorpe,Catherine Morland,9,11,75,-0.029733846400513075,-0.027878787878787885,F,major,F,major
Isabella Thorpe,John Thorpe,9,5,42,-0.014814814814814824,-0.00952380952380953,F,major,M,intermediate
James Morland,Catherine Morland,8,4,30,-0.020833333333333336,-0.016666666666666666,M,minor,F,major
John Thorpe,Catherine Morland,9,6,48,-0.011111111111111115,-0.0034722222222222238,M,intermediate,F,major
Mrs. Allen,Catherine Morland,9,12,78,-0.040211640211640226,-0.030982905982905998,F,intermediate,F,major
Mrs. Thorpe,Catherine Morland,4,3,12,0.0,0.0,F,minor,F,major
