family,gender,mean_conv
adverbs,F,-0.006918934222554955
adverbs,M,0.006966295367514545
articles,F,0.006335822136905481
articles,M,-0.01742902112157748
auxiliary_verbs,F,0.0002599324473456899
auxiliary_verbs,M,-0.00046572513345259175
conjunctions,F,-0.012085071966425475
conjunctions,M,0.02780826765670057
impersonal_pronouns,F,0.018673633682665915
impersonal_pronouns,M,-0.004352628715167909
negations,F,-0.008063423626806324
negations,M,-0.016843770708876417
personal_pronouns,F,0.00021750210513426515
personal_pronouns,M,-4.061944791938776e-05
prepositions,F,-0.004468114609341039
prepositions,M,0.005585196149516946
quantifiers,F,0.0005315355242863158
quantifiers,M,0.004980518485964332
