family,gender,mean_conv
adverbs,F,-0.012853019995877133
adverbs,M,-0.029629629629629617
articles,F,-0.08106060606060606
articles,M,0.05000000000000001
auxiliary_verbs,F,-0.00920314253647588
auxiliary_verbs,M,-0.020833333333333343
conjunctions,F,-0.05596590909090911
conjunctions,M,0.012500000000000011
impersonal_pronouns,F,-0.03900162337662339
impersonal_pronouns,M,-0.02777777777777779
negations,F,0.03240053597196454
negations,M,0.0
personal_pronouns,F,-0.01004489337822672
personal_pronouns,M,0.0
prepositions,F,0.002232142857142849
prepositions,M,-0.02840909090909091
quantifiers,F,0.020346320346320335
quantifiers,M,0.055555555555555546
