family,gender,mean_conv
adverbs,F,0.02261434759418566
adverbs,M,0.020845796823549305
articles,F,-0.009137655879646763
articles,M,-0.0037858162605143536
auxiliary_verbs,F,-0.0056972724929093
auxiliary_verbs,M,0.0012749817534549086
conjunctions,F,-0.00012444776328340845
conjunctions,M,-0.02962258978855957
impersonal_pronouns,F,-0.03366741000610701
impersonal_pronouns,M,0.05801035526094574
negations,F,0.03965672875255157
negations,M,0.02132240914675826
personal_pronouns,F,-0.0029720177925705396
personal_pronouns,M,-0.0025576760618724855
prepositions,F,-0.006731464606647063
prepositions,M,-0.029411704637059503
quantifiers,F,0.05587803253667061
quantifiers,M,0.0371979728142501
