family,gender,mean_conv
adverbs,F,0.033766660487258626
adverbs,M,0.01832103187524875
articles,F,0.029361031578506298
articles,M,-0.04258951642672574
auxiliary_verbs,F,0.00861507892234233
auxiliary_verbs,M,-0.010095344119611055
conjunctions,F,0.03672451696104282
conjunctions,M,-0.025324131206484145
impersonal_pronouns,F,0.02375309207191562
impersonal_pronouns,M,0.036872226002660796
negations,F,0.08148999260659413
negations,M,-0.025284391534391527
personal_pronouns,F,0.0005606951773486571
personal_pronouns,M,0.021554049814919384
prepositions,F,0.01760542178944667
prepositions,M,-0.03288694956722725
quantifiers,F,0.061226654105034674
quantifiers,M,-0.035817029654238955
