family,gender,mean_conv
adverbs,F,0.006631455062769822
adverbs,M,0.05261507624519916
articles,F,-0.0396407372198283
articles,M,0.04511271096488909
auxiliary_verbs,F,0.001088714314650895
auxiliary_verbs,M,-0.013742899783744187
conjunctions,F,-0.01871987753616476
conjunctions,M,0.0015565732824334433
impersonal_pronouns,F,0.001119745076148747
impersonal_pronouns,M,-0.0013775365405599056
negations,F,0.003757264660375762
negations,M,0.09061203097591239
personal_pronouns,F,0.00012594498171936697
personal_pronouns,M,-0.0093499618423616
prepositions,F,-0.015435701425642545
prepositions,M,-0.0141418720661617
quantifiers,F,0.016427678875721337
quantifiers,M,0.10363980497859523
