family,importance,mean_conv
adverbs,intermediate,-0.013470580375265877
adverbs,major,0.03816248711630211
adverbs,minor,0.048484848484848485
articles,intermediate,-0.038340359184389994
articles,major,-0.0020307808810022298
articles,minor,0.052380952380952396
auxiliary_verbs,intermediate,0.008534239578647476
auxiliary_verbs,major,-0.00970816562275005
auxiliary_verbs,minor,0.015384615384615382
conjunctions,intermediate,-0.08004085198087646
conjunctions,major,0.02718639892092441
conjunctions,minor,0.07619047619047621
impersonal_pronouns,intermediate,0.0038964133676906224
impersonal_pronouns,major,0.008370842216087726
impersonal_pronouns,minor,0.07714285714285715
negations,intermediate,0.0008280775198068469
negations,major,0.04788272200761026
negations,minor,0.08163265306122448
personal_pronouns,intermediate,0.003979573058520425
personal_pronouns,major,0.015823085715021765
personal_pronouns,minor,-0.0025641025641025637
prepositions,intermediate,-0.016212346949576052
prepositions,major,0.0009512957647582823
prepositions,minor,0.01607142857142858
quantifiers,intermediate,-0.007210333526122985
quantifiers,major,0.0243014429495652
quantifiers,minor,0.07993197278911568
