family,importance,mean_conv
adverbs,intermediate,0.029166666666666646
adverbs,major,0.023809523809523805
adverbs,minor,0.0
articles,intermediate,-0.029166666666666688
articles,major,-0.034941249226963525
articles,minor,-0.16666666666666669
auxiliary_verbs,intermediate,0.0
auxiliary_verbs,major,-0.0011363636363636298
auxiliary_verbs,minor,0.0
conjunctions,intermediate,-0.014880952380952384
conjunctions,major,-0.007307771593485882
conjunctions,minor,0.0
impersonal_pronouns,intermediate,-0.0047619047619048005
impersonal_pronouns,major,0.004383116883116887
impersonal_pronouns,minor,0.0
negations,intermediate,-0.01666666666666668
negations,major,-0.0064935064935065035
negations,minor,0.0
personal_pronouns,intermediate,-0.004166666666666652
personal_pronouns,major,-0.004356060606060599
personal_pronouns,minor,0.0
prepositions,intermediate,-0.008333333333333331
prepositions,major,-0.0044913419913419905
prepositions,minor,0.08333333333333333
quantifiers,intermediate,-4.163336342344337e-17
quantifiers,major,-0.007415996701711011
quantifiers,minor,0.0
