family,importance,mean_conv
adverbs,intermediate,0.050980639136929254
adverbs,major,-0.015490221444056
adverbs,minor,0.018181818181818177
articles,intermediate,0.0029367410866127097
articles,major,-0.042924609274830626
articles,minor,0.08571428571428572
auxiliary_verbs,intermediate,0.0007846421551370164
auxiliary_verbs,major,-0.0016478341944668948
auxiliary_verbs,minor,-0.010256410256410263
conjunctions,intermediate,0.041913743810928626
conjunctions,major,-0.01198979671283503
conjunctions,minor,-0.023809523809523798
impersonal_pronouns,intermediate,0.01967385239208088
impersonal_pronouns,major,-0.025927585391740244
impersonal_pronouns,minor,0.027142857142857153
negations,intermediate,0.06193918863091797
negations,major,0.05876936280583644
negations,minor,-0.03741496598639455
personal_pronouns,intermediate,0.003884876088823444
personal_pronouns,major,0.0002603592657464057
personal_pronouns,minor,-0.0025641025641025637
prepositions,intermediate,0.02619836733613823
prepositions,major,-0.026872994192413735
prepositions,minor,0.01607142857142858
quantifiers,intermediate,0.029595222029432565
quantifiers,major,0.035643008249597805
quantifiers,minor,0.11564625850340139
