family,importance,mean_conv
adverbs,intermediate,0.005685658131310303
adverbs,major,0.023350232167042018
adverbs,minor,-0.008163265306122436
articles,intermediate,0.03177609427609428
articles,major,0.01776569152482249
articles,minor,-0.04126984126984127
auxiliary_verbs,intermediate,-0.010464322088718232
auxiliary_verbs,major,0.002661122929867421
auxiliary_verbs,minor,-0.01071428571428571
conjunctions,intermediate,-0.09616919386656232
conjunctions,major,0.05159985312402086
conjunctions,minor,-0.023809523809523794
impersonal_pronouns,intermediate,0.03854592304090143
impersonal_pronouns,major,0.016516947138860448
impersonal_pronouns,minor,-0.06164021164021164
negations,intermediate,-0.02698713323713323
negations,major,0.03600176394027892
negations,minor,0.09226190476190477
personal_pronouns,intermediate,0.009347602433351223
personal_pronouns,major,6.20186145760599e-05
personal_pronouns,minor,-0.008333333333333337
prepositions,intermediate,-0.0415200266438078
prepositions,major,0.029045615404761582
prepositions,minor,-0.014761904761904764
quantifiers,intermediate,0.03952112702112703
quantifiers,major,0.06726964834115019
quantifiers,minor,0.0369047619047619
