pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00000,Mrs. Allen,Catherine Morland,1,406,i wish you could dance my dear i wish you could get a partner it would have been very shocking to have it torn would not it it is such a delicate muslin for my part i have not seen anything i like so well in the whole room i assure you,dear madam then why did not you tell me so before i am sure if i had known it to be improper i would not have gone with mr thorpe at all but i always hoped you would tell me if you thought i was doing wrong,Catherine Morland,F,intermediate,F,major,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
00001,Mrs. Allen,Catherine Morland,3,183,yes my dear it is very uncomfortable indeed,no where is he,Catherine Morland,F,intermediate,F,major,0,1,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0,0
00002,Mrs. Allen,Catherine Morland,5,223,aye so we do that is very disagreeable i wish we had a large acquaintance here,yes ma am i thank you we could not have had a nicer day,Catherine Morland,F,intermediate,F,major,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1
00003,Mrs. Allen,Catherine Morland,7,225,very true my dear and if we knew anybody we would join them directly the skinners were here last year i wish they were here now,you have seen mrs thorpe then,Catherine Morland,F,intermediate,F,major,1,1,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0
00004,Mrs. Allen,Catherine Morland,9,408,no more there are indeed how very provoking but i think we had better sit still for one gets so tumbled in such a crowd how is my head my dear somebody gave me a push that has hurt it i am afraid,but this was something of real consequence and i do not think you would have found me hard to persuade,Catherine Morland,F,intermediate,F,major,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
00005,Mrs. Allen,Catherine Morland,182,231,did you meet mr tilney my dear,and what did she tell you of them,Catherine Morland; Mrs. Thorpe,F,intermediate,F,major,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0
00006,Mrs. Allen,Catherine Morland,184,305,he was with us just now and said he was so tired of lounging about that he was resolved to go and dance so i thought perhaps he would ask you if he met with you,there are four umbrellas up already how i hate the sight of an umbrella,Catherine Morland; Mrs. Thorpe,F,intermediate,F,major,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,1,1
00007,Mrs. Allen,Catherine Morland,222,309,well my dear here you are and i hope you have had a pleasant airing,i do not quite despair yet i shall not give it up till a quarter after twelve this is just the time of day for it to clear up and i do think it looks a little lighter there it is twenty minutes after twelve and now i shall give it up entirely oh that we had such weather here as they had at udolpho or at least in tuscany and the south of france the night that poor st aubin died such beautiful weather,Catherine Morland,F,intermediate,F,major,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1
00008,Mrs. Allen,Catherine Morland,224,233,so mrs thorpe said she was vastly pleased at your all going,did she tell you what part of gloucestershire they come from,Catherine Morland,F,intermediate,F,major,0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1
00009,Mrs. Allen,Catherine Morland,226,763,yes i went to the pump room as soon as you were gone and there i met her and we had a great deal of talk together she says there was hardly any veal to be got at market this morning it is so uncommonly scarce,do i oh perfectly,Catherine Morland,F,intermediate,F,major,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,0
