character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Catherine Morland,8,9,0.3200375358745972,0.1818153410065742,0.7227272727272727,0.8363636363636363,F,major
General Tilney,2,1,0.1119047619047618,0.024390243902439,0.0,0.0,M,minor
Mrs. Allen,3,4,0.1075763188766284,0.0820109780439121,0.17727272727272728,0.18181818181818182,F,intermediate
Henry Tilney,3,3,0.08924185852143249,0.1095031805077039,0.01818181818181818,0.14545454545454545,M,major
James Morland,3,2,0.0645333783631656,0.1193240721542607,0.00909090909090909,0.0,M,minor
Isabella Thorpe,4,4,0.030214843853089007,0.0330458724498459,0.2681818181818182,0.2636363636363636,F,major
Eleanor Tilney,2,3,0.0292727573132977,0.12904640829314798,0.004545454545454545,0.0,F,intermediate
John Thorpe,2,2,0.027150482030815902,0.1007958403799043,0.0,0.0,M,intermediate
Mrs. Morland,1,1,0.0,0.0,0.0,0.0,F,minor
Frederick Tilney,1,1,0.0,0.0,0.0,0.0,F,minor
Mrs. Thorpe,1,1,0.0,5.551115123125783e-18,0.01818181818181818,0.0,F,minor
Mr. Allen,2,1,0.0,0.0,0.0,0.0,M,minor
