a_speaker,b_speaker,w_ab,w_ba
Catherine Morland,Eleanor Tilney,0.0671713917525773,0.0231295728109511
Catherine Morland,General Tilney,0.024390243902439,-0.0396825396825396
Catherine Morland,Henry Tilney,0.0234961400290453,0.01830006270141
Catherine Morland,Isabella Thorpe,-0.021141110545084,-0.0207808815889381
Catherine Morland,James Morland,-0.1098901098901098,0.0182370820668693
Catherine Morland,John Thorpe,0.0584469227591904,0.01712158808933
Catherine Morland,Mr. Allen,0.0,0.0888888888888888
Catherine Morland,Mrs. Allen,-0.0153443113772455,0.0237556561085972
Catherine Morland,Mrs. Morland,0.0,0.0266666666666666
Eleanor Tilney,Catherine Morland,0.0231295728109511,0.0671713917525773
Eleanor Tilney,Henry Tilney,0.0029761904761904,-0.0034090909090909
Frederick Tilney,Isabella Thorpe,0.1025641025641025,0.0158730158730158
General Tilney,Catherine Morland,-0.0396825396825396,0.024390243902439
Henry Tilney,Catherine Morland,0.01830006270141,0.0234961400290453
Henry Tilney,Eleanor Tilney,-0.0034090909090909,0.0029761904761904
Henry Tilney,Mrs. Allen,0.1149425287356321,-0.0838206627680312
Isabella Thorpe,Catherine Morland,-0.0207808815889381,-0.021141110545084
Isabella Thorpe,Frederick Tilney,0.0158730158730158,0.1025641025641025
Isabella Thorpe,James Morland,0.0094339622641509,0.0
Isabella Thorpe,Mrs. Thorpe,0.0384615384615384,0.0
James Morland,Catherine Morland,0.0182370820668693,-0.1098901098901098
James Morland,Isabella Thorpe,0.0,0.0094339622641509
James Morland,John Thorpe,0.043859649122807,0.0
John Thorpe,Catherine Morland,0.01712158808933,0.0584469227591904
John Thorpe,James Morland,0.0,0.043859649122807
Mr. Allen,Catherine Morland,0.0888888888888888,0.0
Mr. Allen,Mrs. Allen,0.04,-0.0579710144927536
Mrs. Allen,Catherine Morland,0.0237556561085972,-0.0153443113772455
Mrs. Allen,Henry Tilney,-0.0838206627680312,0.1149425287356321
Mrs. Allen,Mr. Allen,-0.0579710144927536,0.04
Mrs. Morland,Catherine Morland,0.0266666666666666,0.0
Mrs. Thorpe,Isabella Thorpe,0.0,0.0384615384615384
