uid,pair_id,side,text,Segment,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,quantity
p00000_A,00000,A,advertise,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p00001_A,00001,A,i presume to observe sir walter that in the way of business gentlemen of the navy are well to deal with i have had a little knowledge of their methods of doing business and i am free to confess that they have very liberal notions and are as likely to make desirable tenants as any set of people one should meet with therefore sir walter what i would take leave to suggest is that if in consequence of any rumours getting abroad of your intention which must be contemplated as a possible thing because we know how difficult it is to keep the actions and designs of one part of the world from the notice and curiosity of the other consequence has its tax i john shepherd might conceal any family matters that i chose for nobody would think it worth their while to observe me but sir walter elliot has eyes upon him which it may be very difficult to elude and therefore thus much i venture upon that it will not greatly surprise me if with all our caution some rumour of the truth should get abroad in the supposition of which as i was going to observe since applications will unquestionably follow i should think any from our wealthy naval commanders particularly worth attending to and beg leave to add that two hours will bring me over at any time to save you the trouble of replying,1,72.5,61.67,15.83,8.75,5,1.25,0.83,0.42,1.25,7.08,4.58,17.92,10,3.33,6.67,0.83,4.17
p00002_A,00002,A,they would look around them no doubt and bless their good fortune but i quite agree with my father in thinking a sailor might be a very desirable tenant i have known a good deal of the profession and besides their liberality they are so neat and careful in all their ways these valuable pictures of yours sir walter if you chose to leave them would be perfectly safe everything in and about the house would be taken such excellent care of the gardens and shrubberies would be kept in almost as high order as they are now you need not be afraid miss elliot of your own sweet flower gardens being neglected,1,76.99,61.06,15.04,13.27,2.65,0,3.54,0,7.08,1.77,5.31,13.27,12.39,7.96,8.85,1.77,0.88
p00003_A,00003,A,as to all that supposing i were induced to let my house i have by no means made up my mind as to the privileges to be annexed to it i am not particularly disposed to favour a tenant the park would be open to him of course and few navy officers or men of any other description can have had such a range but what restrictions i might impose on the use of the pleasure grounds is another thing i am not fond of the idea of my shrubberies being always approachable and i should recommend miss elliot to be on her guard with respect to her flower garden i am very little disposed to grant a tenant of kellynch hall any extraordinary favour i assure you be he sailor or soldier,1,69.92,62.41,15.79,12.03,8.27,0,0.75,3.01,0,3.76,6.02,16.54,12.78,1.5,5.26,2.26,3.01
p00004_A,00004,A,very true very true what miss anne says is very true,1,81.82,45.45,9.09,0,0,0,0,0,0,9.09,0,0,9.09,27.27,0,0,0
p00005_A,00005,A,oh certainly,1,100,50,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0
p00006_A,00006,A,indeed,1,100,100,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0
p00007_A,00007,A,nay sir walter this is being severe indeed have a little mercy on the poor men we are not all born to be handsome the sea is no beautifier certainly sailors do grow old betimes i have observed it they soon lose the look of youth but then is not it the same with many other professions perhaps most other soldiers in active service are not at all better off and even in the quieter professions there is a toil and a labour of the mind if not of the body which seldom leaves a man s looks to the natural effect of time the lawyer plods quite care worn the physician is up at all hours and travelling in all weather and even the clergyman and even the clergyman you know is obliged to go into infected rooms and expose his health and looks to all the injury of a poisonous atmosphere in fact as i have long been convinced though every profession is necessary and honourable in its turn it is only the lot of those who are not obliged to follow any who can live in a regular way in the country choosing their own hours following their own pursuits and living on their own property without the torment of trying for more it is only their lot i say to hold the blessings of health and a good appearance to the utmost i know no other set of men but what lose something of their personableness when they cease to be quite young,1,75.88,61.48,10.12,6.23,1.56,0.39,0.39,0.39,2.72,3.89,9.73,14.01,8.17,6.23,6.61,2.72,5.45
p00008_A,00008,A,he is a rear admiral of the white he was in the trafalgar action and has been in the east indies since he was stationed there i believe several years,1,80,66.67,13.33,13.33,3.33,0,0,10,0,0,13.33,13.33,16.67,3.33,6.67,0,6.67
p00009_A,00009,A,then i take it for granted that his face is about as orange as the cuffs and capes of my livery,1,76.19,66.67,23.81,14.29,9.52,0,0,4.76,0,9.52,4.76,23.81,4.76,4.76,19.05,0,0
p00010_A,00010,A,i have no conception whom you can mean shepherd i remember no gentleman resident at monkford since the time of old governor trent,1,60.87,52.17,17.39,17.39,8.7,0,4.35,0,0,0,4.35,13.04,8.7,0,4.35,8.7,0
p00011_A,00011,A,you mean mr wentworth i suppose,1,50,33.33,33.33,33.33,16.67,0,16.67,0,0,0,0,0,0,0,0,0,0
p00012_A,00012,A,wentworth was the very name mr wentworth was the very man he had the curacy of monkford you know sir walter some time back for two or three years came there about the year 5 i take it you remember him i am sure,1,72.73,56.82,15.91,13.64,4.55,0,4.55,4.55,0,2.27,9.09,6.82,9.09,9.09,2.27,0,11.36
p00013_A,00013,A,i cannot possibly do without anne,1,83.33,83.33,16.67,16.67,16.67,0,0,0,0,0,0,16.67,33.33,33.33,0,16.67,0
p00014_A,00014,A,i think very differently an agreeable manner may set off handsome features but can never alter plain ones however at any rate as i have a great deal more at stake on this point than anybody else can have i think it rather unnecessary in you to be advising me,1,84,66,16,10,8,0,2,0,0,6,4,16,12,12,8,2,4
p00015_A,00015,A,and i will tell you our reason and all about it i am come on to give you notice that papa and mamma are out of spirits this evening especially mamma she is thinking so much of poor richard and we agreed it would be best to have the harp for it seems to amuse her more than the piano forte i will tell you why she is out of spirits when the crofts called this morning they called here afterwards did not they they happened to say that her brother captain wentworth is just returned to england or paid off or something and is coming to see them almost directly and most unluckily it came into mamma s head when they were gone that wentworth or something very like it was the name of poor richard s captain at one time i do not know when or where but a great while before he died poor fellow and upon looking over his letters and things she found it was so and is perfectly sure that this must be the very man and her head is quite full of it and of poor richard so we must be as merry as we can that she may not be dwelling upon such gloomy things,1,79.81,66.67,20.66,11.74,1.88,1.88,1.41,4.23,2.35,8.92,2.82,12.68,10.8,8.45,12.68,1.41,2.82
p00016_A,00016,A,nothing can be going on better than the child so i told my father just now that i would come and he thought me quite right your sister being with you my love i have no scruple at all you would not like to leave him yourself but you see i can be of no use anne will send for me if anything is the matter,1,87.88,74.24,25.76,22.73,12.12,0,7.58,3.03,0,3.03,3.03,12.12,15.15,6.06,7.58,6.06,1.52
p00017_A,00017,A,well if you do not think it too late to give notice for yourself suppose you were to go as well as your husband leave little charles to my care mr and mrs musgrove cannot think it wrong while i remain with him,1,86.05,60.47,20.93,16.28,4.65,0,9.3,2.33,0,4.65,0,16.28,6.98,6.98,11.63,4.65,2.33
p00018_A,00018,A,this is very kind of anne and i should be very glad to have you go but it seems rather hard that she should be left at home by herself to nurse our sick child,1,80,65.71,22.86,14.29,2.86,2.86,2.86,5.71,0,8.57,0,11.43,17.14,8.57,5.71,0,0
p00019_A,00019,A,i felt my luck admiral i assure you i was as well satisfied with my appointment as you can desire it was a great object with me at that time to be at sea a very great object i wanted to be doing something,1,79.55,68.18,27.27,20.45,15.91,0,4.55,0,0,6.82,4.55,18.18,13.64,4.55,4.55,0,0
p00020_A,00020,A,to be sure you did what should a young fellow like you do ashore for half a year together if a man had not a wife he soon wants to be afloat again,1,81.82,66.67,12.12,9.09,0,0,6.06,3.03,0,3.03,12.12,12.12,18.18,6.06,3.03,3.03,6.06
p00021_A,00021,A,but captain wentworth how vexed you must have been when you came to the asp to see what an old thing they had given you,1,80,64,24,16,0,0,12,0,4,8,8,8,12,8,8,0,0
p00022_A,00022,A,i knew pretty well what she was before that day i had no more discoveries to make than you would have as to the fashion and strength of any old pelisse which you had seen lent about among half your acquaintance ever since you could remember and which at last on some very wet day is lent to yourself ah she was a dear old asp to me she did all that i wanted i knew she would i knew that we should either go to the bottom together or that she would be the making of me and i never had two days of foul weather all the time i was at sea in her and after taking privateers enough to be very entertaining i had the good luck in my passage home the next autumn to fall in with the very french frigate i wanted i brought her into plymouth and here another instance of luck we had not been six hours in the sound when a gale came on which lasted four days and nights and which would have done for poor old asp in half the time our touch with the great nation not having much improved our condition four and twenty hours later and i should only have been a gallant captain wentworth in a small paragraph at one corner of the newspapers and being lost in only a sloop nobody would have thought about me,1,82.57,67.22,17.43,12.86,6.22,1.66,2.07,2.9,0,4.56,6.64,14.94,12.03,5.39,7.47,2.07,9.13
p00023_A,00023,A,it was at gibraltar mother i know dick had been left ill at gibraltar with a recommendation from his former captain to captain wentworth,1,62.5,54.17,16.67,12.5,8.33,0,0,4.17,0,4.17,4.17,20.83,16.67,0,0,0,0
p00024_A,00024,A,ah those were pleasant days when i had the laconia how fast i made money in her a friend of mine and i had such a lovely cruise together off the western islands poor harville sister you know how much he wanted money worse than myself he had a wife excellent fellow i shall never forget his happiness he felt it all so much for her sake i wished for him again the next summer when i had still the same luck in the mediterranean,1,81.18,61.18,21.18,18.82,9.41,0,1.18,8.24,0,2.35,9.41,8.24,7.06,9.41,5.88,1.18,4.71
p00025_A,00025,A,and i am sure sir it was a lucky day for us when you were put captain into that ship we shall never forget what you did poor dear fellow he was grown so steady and such an excellent correspondent while he was under your care ah it would have been a happy thing if he had never left you i assure you captain wentworth we are very sorry he ever left you,1,86.3,67.12,27.4,20.55,2.74,4.11,8.22,5.48,0,6.85,4.11,4.11,16.44,8.22,8.22,2.74,1.37
p00026_A,00026,A,if you had been a week later at lisbon last spring frederick you would have been asked to give a passage to lady mary grierson and her daughters,1,67.86,53.57,10.71,10.71,0,0,7.14,3.57,0,0,7.14,10.71,17.86,0,7.14,0,3.57
p00027_A,00027,A,my feelings you see did not prevent my taking mrs harville and all her family to plymouth,1,64.71,52.94,23.53,23.53,11.76,0,5.88,5.88,0,0,0,5.88,5.88,0,5.88,5.88,5.88
p00028_A,00028,A,ah my dear when he had got a wife he will sing a different tune when he is married if we have the good luck to live to another war we shall see him do as you and i and a great many others have done we shall have him very thankful to anybody that will bring him his wife,1,88.33,71.67,28.33,21.67,3.33,5,1.67,11.67,0,6.67,6.67,6.67,18.33,5,10,0,3.33
p00029_A,00029,A,ay that we shall,1,75,75,50,25,0,25,0,0,0,25,0,0,25,0,0,0,0
p00030_A,00030,A,when once married people begin to attack me with oh you will think very differently when you are married i can only say no i shall not and then they say again yes you will and there is an end of it,1,88.1,73.81,19.05,16.67,7.14,0,7.14,0,2.38,2.38,2.38,7.14,14.29,19.05,11.9,4.76,2.38
p00031_A,00031,A,what a great traveller you must have been ma am,1,70,60,20,10,0,0,10,0,0,10,10,0,30,0,0,0,0
p00032_A,00032,A,pretty well ma am in the fifteen years of my marriage though many women have done more i have crossed the atlantic four times and have been once to the east indies and back again and only once besides being in different places about home cork and lisbon and gibraltar but i never went beyond the streights and never was in the west indies we do not call bermuda or bahama you know the west indies,1,76.32,65.79,6.58,6.58,3.95,1.32,1.32,0,0,0,7.89,10.53,11.84,15.79,11.84,3.95,9.21
p00033_A,00033,A,aye to be sure yes indeed oh yes i am quite of your opinion mrs croft there is nothing so bad as a separation i am quite of your opinion i know what it is for mr musgrove always attends the assizes and i am so glad when they are over and he is safe back again,1,84.21,66.67,17.54,14.04,7.02,0,3.51,1.75,1.75,3.51,3.51,10.53,14.04,15.79,10.53,1.75,0
p00034_A,00034,A,i hope the little boy is better,1,85.71,42.86,14.29,14.29,14.29,0,0,0,0,0,14.29,0,14.29,0,0,0,14.29
p00035_A,00035,A,how do you do will you not sit down the others will be here presently,1,100,93.33,20,13.33,0,0,13.33,0,0,6.67,6.67,6.67,33.33,20,0,6.67,0
p00036_A,00036,A,ah you make the most of it i know but if it were really so i should do just the same in her place if i loved a man as she loves the admiral i would always be with him nothing should ever separate us and i would rather be overturned by him than driven safely by anybody else,1,84.75,77.97,23.73,18.64,8.47,1.69,1.69,6.78,0,5.08,6.78,11.86,13.56,11.86,11.86,1.69,1.69
p00037_A,00037,A,had you i honour you,1,80,80,60,60,20,0,40,0,0,0,0,0,20,0,0,0,0
p00038_A,00038,A,is not this one of the ways to winthrop,1,77.78,77.78,11.11,0,0,0,0,0,0,11.11,11.11,22.22,11.11,0,0,11.11,11.11
p00039_A,00039,A,bless me here is winthrop i declare i had no idea well now i think we had better turn back i am excessively tired,1,79.17,58.33,25,25,20.83,4.17,0,0,0,0,0,0,16.67,12.5,0,4.17,4.17
p00040_A,00040,A,no,1,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0
