a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Admiral Croft,Anne Elliot,adverbs,9,8,5,0.625,0.6666666666666666,-0.04166666666666663,M,intermediate,F,major
Admiral Croft,Anne Elliot,articles,9,7,5,0.7142857142857143,0.6666666666666666,0.04761904761904767,M,intermediate,F,major
Admiral Croft,Anne Elliot,auxiliary_verbs,9,9,9,1.0,1.0,0.0,M,intermediate,F,major
Admiral Croft,Anne Elliot,conjunctions,9,8,5,0.625,0.6666666666666666,-0.04166666666666663,M,intermediate,F,major
Admiral Croft,Anne Elliot,impersonal_pronouns,9,8,7,0.875,0.8888888888888888,-0.01388888888888884,M,intermediate,F,major
Admiral Croft,Anne Elliot,negations,9,4,3,0.75,0.6666666666666666,0.08333333333333337,M,intermediate,F,major
Admiral Croft,Anne Elliot,personal_pronouns,9,8,8,1.0,1.0,0.0,M,intermediate,F,major
Admiral Croft,Anne Elliot,prepositions,9,8,7,0.875,0.8888888888888888,-0.01388888888888884,M,intermediate,F,major
Admiral Croft,Anne Elliot,quantifiers,9,4,3,0.75,0.4444444444444444,0.3055555555555556,M,intermediate,F,major
Anne Elliot,Admiral Croft,adverbs,8,6,4,0.6666666666666666,0.75,-0.08333333333333337,F,major,M,intermediate
Anne Elliot,Admiral Croft,articles,8,5,5,1.0,0.75,0.25,F,major,M,intermediate
Anne Elliot,Admiral Croft,auxiliary_verbs,8,8,8,1.0,1.0,0.0,F,major,M,intermediate
Anne Elliot,Admiral Croft,conjunctions,8,6,6,1.0,0.875,0.125,F,major,M,intermediate
Anne Elliot,Admiral Croft,impersonal_pronouns,8,7,6,0.8571428571428571,0.875,-0.017857142857142905,F,major,M,intermediate
Anne Elliot,Admiral Croft,negations,8,5,2,0.4,0.375,0.025000000000000022,F,major,M,intermediate
Anne Elliot,Admiral Croft,personal_pronouns,8,8,7,0.875,0.875,0.0,F,major,M,intermediate
Anne Elliot,Admiral Croft,prepositions,8,7,6,0.8571428571428571,0.875,-0.017857142857142905,F,major,M,intermediate
Anne Elliot,Admiral Croft,quantifiers,8,3,2,0.6666666666666666,0.375,0.29166666666666663,F,major,M,intermediate
Anne Elliot,Captain Harville,adverbs,10,9,9,1.0,1.0,0.0,F,major,M,intermediate
Anne Elliot,Captain Harville,articles,10,9,7,0.7777777777777778,0.8,-0.022222222222222254,F,major,M,intermediate
Anne Elliot,Captain Harville,auxiliary_verbs,10,10,9,0.9,0.9,0.0,F,major,M,intermediate
Anne Elliot,Captain Harville,conjunctions,10,8,7,0.875,0.9,-0.025000000000000022,F,major,M,intermediate
Anne Elliot,Captain Harville,impersonal_pronouns,10,10,7,0.7,0.7,0.0,F,major,M,intermediate
Anne Elliot,Captain Harville,negations,10,8,7,0.875,0.7,0.17500000000000004,F,major,M,intermediate
Anne Elliot,Captain Harville,personal_pronouns,10,10,10,1.0,1.0,0.0,F,major,M,intermediate
Anne Elliot,Captain Harville,prepositions,10,10,10,1.0,1.0,0.0,F,major,M,intermediate
Anne Elliot,Captain Harville,quantifiers,10,7,5,0.7142857142857143,0.6,0.11428571428571432,F,major,M,intermediate
Anne Elliot,Captain Wentworth,adverbs,16,13,11,0.8461538461538461,0.8125,0.033653846153846145,F,major,M,major
Anne Elliot,Captain Wentworth,articles,16,15,8,0.5333333333333333,0.5625,-0.029166666666666674,F,major,M,major
Anne Elliot,Captain Wentworth,auxiliary_verbs,16,15,14,0.9333333333333333,0.9375,-0.004166666666666652,F,major,M,major
Anne Elliot,Captain Wentworth,conjunctions,16,14,10,0.7142857142857143,0.6875,0.0267857142857143,F,major,M,major
Anne Elliot,Captain Wentworth,impersonal_pronouns,16,14,10,0.7142857142857143,0.6875,0.0267857142857143,F,major,M,major
Anne Elliot,Captain Wentworth,negations,16,12,8,0.6666666666666666,0.6875,-0.02083333333333337,F,major,M,major
