a_speaker,b_speaker,family,n_pairs,n_triggers,n_b_positives_given_trigger,p1,p0,conv,a_gender,a_category,b_gender,b_category
Admiral Croft,Anne Elliot,adverbs,9,5,3,0.6,0.7777777777777778,-0.1777777777777778,M,intermediate,F,major
Admiral Croft,Anne Elliot,articles,9,3,1,0.3333333333333333,0.6666666666666666,-0.3333333333333333,M,intermediate,F,major
Admiral Croft,Anne Elliot,auxiliary_verbs,9,7,7,1.0,1.0,0.0,M,intermediate,F,major
Admiral Croft,Anne Elliot,conjunctions,9,5,3,0.6,0.7777777777777778,-0.1777777777777778,M,intermediate,F,major
Admiral Croft,Anne Elliot,impersonal_pronouns,9,8,7,0.875,0.8888888888888888,-0.01388888888888884,M,intermediate,F,major
Admiral Croft,Anne Elliot,negations,9,6,4,0.6666666666666666,0.6666666666666666,0.0,M,intermediate,F,major
Admiral Croft,Anne Elliot,personal_pronouns,9,9,9,1.0,1.0,0.0,M,intermediate,F,major
Admiral Croft,Anne Elliot,prepositions,9,5,4,0.8,0.8888888888888888,-0.0888888888888888,M,intermediate,F,major
Admiral Croft,Anne Elliot,quantifiers,9,5,3,0.6,0.5555555555555556,0.0444444444444444,M,intermediate,F,major
Anne Elliot,Admiral Croft,adverbs,8,7,5,0.7142857142857143,0.75,-0.0357142857142857,F,major,M,intermediate
Anne Elliot,Admiral Croft,articles,8,7,7,1.0,0.875,0.125,F,major,M,intermediate
Anne Elliot,Admiral Croft,auxiliary_verbs,8,8,8,1.0,1.0,0.0,F,major,M,intermediate
Anne Elliot,Admiral Croft,conjunctions,8,8,5,0.625,0.625,0.0,F,major,M,intermediate
Anne Elliot,Admiral Croft,impersonal_pronouns,8,7,6,0.8571428571428571,0.75,0.1071428571428571,F,major,M,intermediate
Anne Elliot,Admiral Croft,negations,8,7,5,0.7142857142857143,0.625,0.0892857142857143,F,major,M,intermediate
Anne Elliot,Admiral Croft,personal_pronouns,8,8,8,1.0,1.0,0.0,F,major,M,intermediate
Anne Elliot,Admiral Croft,prepositions,8,8,8,1.0,1.0,0.0,F,major,M,intermediate
Anne Elliot,Admiral Croft,quantifiers,8,5,2,0.4,0.375,0.025000000000000022,F,major,M,intermediate
Anne Elliot,Captain Harville,adverbs,10,8,7,0.875,0.8,0.07499999999999996,F,major,M,intermediate
Anne Elliot,Captain Harville,articles,10,8,3,0.375,0.4,-0.025000000000000022,F,major,M,intermediate
Anne Elliot,Captain Harville,auxiliary_verbs,10,10,9,0.9,0.9,0.0,F,major,M,intermediate
Anne Elliot,Captain Harville,conjunctions,10,8,5,0.625,0.6,0.025000000000000022,F,major,M,intermediate
Anne Elliot,Captain Harville,impersonal_pronouns,10,8,4,0.5,0.5,0.0,F,major,M,intermediate
Anne Elliot,Captain Harville,negations,10,7,4,0.5714285714285714,0.5,0.0714285714285714,F,major,M,intermediate
Anne Elliot,Captain Harville,personal_pronouns,10,10,9,0.9,0.9,0.0,F,major,M,intermediate
Anne Elliot,Captain Harville,prepositions,10,9,8,0.8888888888888888,0.9,-0.011111111111111183,F,major,M,intermediate
Anne Elliot,Captain Harville,quantifiers,10,6,3,0.5,0.6,-0.09999999999999998,F,major,M,intermediate
Anne Elliot,Captain Wentworth,adverbs,16,13,10,0.7692307692307693,0.75,0.019230769230769273,F,major,M,major
Anne Elliot,Captain Wentworth,articles,16,11,5,0.45454545454545453,0.625,-0.17045454545454547,F,major,M,major
Anne Elliot,Captain Wentworth,auxiliary_verbs,16,16,13,0.8125,0.8125,0.0,F,major,M,major
Anne Elliot,Captain Wentworth,conjunctions,16,14,12,0.8571428571428571,0.875,-0.017857142857142905,F,major,M,major
Anne Elliot,Captain Wentworth,impersonal_pronouns,16,12,9,0.75,0.75,0.0,F,major,M,major
Anne Elliot,Captain Wentworth,negations,16,12,6,0.5,0.625,-0.125,F,major,M,major
Anne Elliot,Captain Wentworth,personal_pronouns,16,15,14,0.9333333333333333,0.9375,-0.004166666666666652,F,major,M,major
Anne Elliot,Captain Wentworth,prepositions,16,14,10,0.7142857142857143,0.75,-0.0357142857142857,F,major,M,major
Anne Elliot,Captain Wentworth,quantifiers,16,12,8,0.6666666666666666,0.6875,-0.02083333333333337,F,major,M,major
Anne Elliot,Charles Musgrove,adverbs,5,4,3,0.75,0.8,-0.050000000000000044,F,major,M,intermediate
Anne Elliot,Charles Musgrove,articles,5,4,2,0.5,0.6,-0.09999999999999998,F,major,M,intermediate
Anne Elliot,Charles Musgrove,auxiliary_verbs,5,5,4,0.8,0.8,0.0,F,major,M,intermediate
