family,gender,mean_conv
adverbs,F,-0.004315210932858001
adverbs,M,0.011111111111111098
articles,F,-0.01995162005937867
articles,M,-0.004647435897435881
auxiliary_verbs,F,0.0038690476190476174
auxiliary_verbs,M,0.026190476190476184
conjunctions,F,0.03814145146041699
conjunctions,M,0.05983560090702948
impersonal_pronouns,F,0.035187229437229434
impersonal_pronouns,M,0.011111111111111096
negations,F,-0.00686466585676073
negations,M,-0.004343434343434355
personal_pronouns,F,0.014429012345679011
personal_pronouns,M,0.004487179487179489
prepositions,F,0.006939364913502838
prepositions,M,0.01123321123321122
quantifiers,F,0.0020077844913371176
quantifiers,M,0.01769644496917223
