family,gender,mean_conv
adverbs,F,-0.009635387760387767
adverbs,M,-0.024263038548752842
articles,F,0.0025465110286538822
articles,M,-0.06746031746031747
auxiliary_verbs,F,0.0026102187286397805
auxiliary_verbs,M,0.0
conjunctions,F,0.018954248366013067
conjunctions,M,0.015476190476190472
impersonal_pronouns,F,0.026308112177677378
impersonal_pronouns,M,-0.010555555555555563
negations,F,-0.008134920634920632
negations,M,-0.04259259259259259
personal_pronouns,F,-0.0008950161327071376
personal_pronouns,M,0.003703703703703705
prepositions,F,-0.004884197592530926
prepositions,M,-0.01507381507381506
quantifiers,F,0.016628336940836947
quantifiers,M,-0.0033670033670033764
