family,gender,mean_conv
adverbs,F,-0.009438781406744806
adverbs,M,-0.009143518518518532
articles,F,-0.03730641963400582
articles,M,0.012519841269841275
auxiliary_verbs,F,-0.006388888888888888
auxiliary_verbs,M,-0.0004464285714285791
conjunctions,F,-0.010637909813873303
conjunctions,M,-0.017609126984126977
impersonal_pronouns,F,0.029149796282149212
impersonal_pronouns,M,-0.003720238095238096
negations,F,0.03070691385908776
negations,M,0.04662698412698412
personal_pronouns,F,-0.007456140350877195
personal_pronouns,M,0.004976851851851843
prepositions,F,0.007158504935274432
prepositions,M,-0.0007891414141414274
quantifiers,F,-0.018990168578984393
quantifiers,M,0.00220238095238095
