family,importance,mean_conv
adverbs,intermediate,-0.01666666666666668
adverbs,minor,0.0
articles,intermediate,0.0
articles,major,0.0
auxiliary_verbs,intermediate,0.0
auxiliary_verbs,major,0.0
auxiliary_verbs,minor,0.0
conjunctions,intermediate,0.0
impersonal_pronouns,intermediate,-0.04999999999999999
negations,intermediate,0.033333333333333326
negations,major,0.16666666666666663
personal_pronouns,intermediate,0.0
personal_pronouns,major,0.0
personal_pronouns,minor,0.0
prepositions,intermediate,0.0
prepositions,major,0.0
prepositions,minor,-0.16666666666666669
quantifiers,intermediate,-0.01666666666666668
quantifiers,major,0.16666666666666663
