family,importance,mean_conv
adverbs,intermediate,-0.0004775885398722835
adverbs,major,-0.005600570926657896
adverbs,minor,-0.0064102564102564135
articles,intermediate,0.0034969523199479516
articles,major,0.0046583971583971685
articles,minor,0.025925925925925932
auxiliary_verbs,intermediate,-0.006869960105254225
auxiliary_verbs,major,-0.001782895923520926
auxiliary_verbs,minor,0.0
conjunctions,intermediate,-0.015849909943693508
conjunctions,major,-0.03056251288394144
conjunctions,minor,-0.0196969696969697
impersonal_pronouns,intermediate,0.01920487493242911
impersonal_pronouns,major,0.0017568542568542492
impersonal_pronouns,minor,-0.012962962962962966
negations,intermediate,0.007605215999443249
negations,major,0.06173855905998762
negations,minor,-0.06666666666666667
personal_pronouns,intermediate,-0.012504880740174857
personal_pronouns,major,-0.010736268939393945
personal_pronouns,minor,0.057692307692307696
prepositions,intermediate,0.023226931425927903
prepositions,major,-0.015092465604319066
prepositions,minor,0.04305555555555555
quantifiers,intermediate,-0.039850606909430444
quantifiers,major,0.025239297739297735
quantifiers,minor,0.0066666666666666706
