family,importance,mean_conv
adverbs,intermediate,-0.0011586452762923393
adverbs,major,0.0010598446152079231
adverbs,minor,-0.008333333333333337
articles,intermediate,-0.003600739538239542
articles,major,0.018006123531922234
articles,minor,0.0842857142857143
auxiliary_verbs,intermediate,0.0012659489633173842
auxiliary_verbs,major,0.017340309329473415
auxiliary_verbs,minor,0.0
conjunctions,intermediate,0.015700757575757573
conjunctions,major,0.0589969387848022
conjunctions,minor,0.04285714285714287
impersonal_pronouns,intermediate,0.023145743145743143
impersonal_pronouns,major,0.03033682100291096
impersonal_pronouns,minor,-0.007380952380952372
negations,intermediate,-0.020848595848595847
negations,major,-0.005788240602818624
negations,minor,0.09841269841269841
personal_pronouns,intermediate,0.001996943115364165
personal_pronouns,major,0.019658605068821788
personal_pronouns,minor,-0.0196969696969697
prepositions,intermediate,0.010013932427725532
prepositions,major,0.020284961482561207
prepositions,minor,0.048484848484848485
quantifiers,intermediate,0.015151515151515148
quantifiers,major,0.03767378964989259
quantifiers,minor,0.060317460317460325
