family,importance,mean_conv
adverbs,intermediate,-0.1111111111111111
adverbs,major,-0.010000000000000009
adverbs,minor,0.0
articles,intermediate,0.0
articles,major,-0.03571428571428571
articles,minor,0.0
auxiliary_verbs,intermediate,0.0
auxiliary_verbs,major,0.0
auxiliary_verbs,minor,0.0
conjunctions,intermediate,0.0
conjunctions,major,0.03571428571428571
conjunctions,minor,0.0
impersonal_pronouns,intermediate,-0.06666666666666665
impersonal_pronouns,major,-0.016666666666666663
impersonal_pronouns,minor,0.0
negations,intermediate,-0.055555555555555546
negations,major,-0.0027777777777777866
negations,minor,0.0
personal_pronouns,intermediate,0.0
personal_pronouns,major,0.0
personal_pronouns,minor,0.0
prepositions,intermediate,-0.04166666666666666
prepositions,major,-0.020833333333333336
prepositions,minor,0.0
quantifiers,intermediate,0.0
quantifiers,major,0.023333333333333317
quantifiers,minor,0.0
