pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00000,Mr Shepherd,Sir Walter Elliot,4,5,i must take leave to observe sir walter that the present juncture is much in our favour this peace will be turning all our rich naval officers ashore they will be all wanting a home could not be a better time sir walter for having a choice of tenants very responsible tenants many a noble fortune has been made during the war if a rich admiral were to come in our way sir walter,he would be a very lucky man shepherd that s all i have to remark a prize indeed would kellynch hall be to him rather the greatest prize of all let him have taken ever so many before hey shepherd,Anne Elliot; Mrs Clay; Sir Walter Elliot,M,minor,M,intermediate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
00001,Sir Walter Elliot,Mr Shepherd,5,6,he would be a very lucky man shepherd that s all i have to remark a prize indeed would kellynch hall be to him rather the greatest prize of all let him have taken ever so many before hey shepherd,i presume to observe sir walter that in the way of business gentlemen of the navy are well to deal with i have had a little knowledge of their methods of doing business and i am free to confess that they have very liberal notions and are as likely to make desirable tenants as any set of people one should meet with therefore sir walter what i would take leave to suggest is that if in consequence of any rumours getting abroad of your intention which must be contemplated as a possible thing because we know how difficult it is to keep the actions and designs of one part of the world from the notice and curiosity of the other consequence has its tax i john shepherd might conceal any family matters that i chose for nobody would think it worth their while to observe me but sir walter elliot has eyes upon him which it may be very difficult to elude and therefore thus much i venture upon that it will not greatly surprise me if with all our caution some rumour of the truth should get abroad in the supposition of which as i was going to observe since applications will unquestionably follow i should think any from our wealthy naval commanders particularly worth attending to and beg leave to add that two hours will bring me over at any time to save you the trouble of replying,Anne Elliot; Mr Shepherd; Mrs Clay,M,intermediate,M,minor,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
00002,Mr Shepherd,Sir Walter Elliot,6,7,i presume to observe sir walter that in the way of business gentlemen of the navy are well to deal with i have had a little knowledge of their methods of doing business and i am free to confess that they have very liberal notions and are as likely to make desirable tenants as any set of people one should meet with therefore sir walter what i would take leave to suggest is that if in consequence of any rumours getting abroad of your intention which must be contemplated as a possible thing because we know how difficult it is to keep the actions and designs of one part of the world from the notice and curiosity of the other consequence has its tax i john shepherd might conceal any family matters that i chose for nobody would think it worth their while to observe me but sir walter elliot has eyes upon him which it may be very difficult to elude and therefore thus much i venture upon that it will not greatly surprise me if with all our caution some rumour of the truth should get abroad in the supposition of which as i was going to observe since applications will unquestionably follow i should think any from our wealthy naval commanders particularly worth attending to and beg leave to add that two hours will bring me over at any time to save you the trouble of replying,there are few among the gentlemen of the navy i imagine who would not be surprised to find themselves in a house of this description,Anne Elliot; Mrs Clay; Sir Walter Elliot,M,minor,M,intermediate,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
00003,Sir Walter Elliot,Mrs Clay,7,8,there are few among the gentlemen of the navy i imagine who would not be surprised to find themselves in a house of this description,they would look around them no doubt and bless their good fortune but i quite agree with my father in thinking a sailor might be a very desirable tenant i have known a good deal of the profession and besides their liberality they are so neat and careful in all their ways these valuable pictures of yours sir walter if you chose to leave them would be perfectly safe everything in and about the house would be taken such excellent care of the gardens and shrubberies would be kept in almost as high order as they are now you need not be afraid miss elliot of your own sweet flower gardens being neglected,Anne Elliot; Mr Shepherd; Mrs Clay,M,intermediate,F,minor,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00004,Mrs Clay,Sir Walter Elliot,8,9,they would look around them no doubt and bless their good fortune but i quite agree with my father in thinking a sailor might be a very desirable tenant i have known a good deal of the profession and besides their liberality they are so neat and careful in all their ways these valuable pictures of yours sir walter if you chose to leave them would be perfectly safe everything in and about the house would be taken such excellent care of the gardens and shrubberies would be kept in almost as high order as they are now you need not be afraid miss elliot of your own sweet flower gardens being neglected,as to all that supposing i were induced to let my house i have by no means made up my mind as to the privileges to be annexed to it i am not particularly disposed to favour a tenant the park would be open to him of course and few navy officers or men of any other description can have had such a range but what restrictions i might impose on the use of the pleasure grounds is another thing i am not fond of the idea of my shrubberies being always approachable and i should recommend miss elliot to be on her guard with respect to her flower garden i am very little disposed to grant a tenant of kellynch hall any extraordinary favour i assure you be he sailor or soldier,Anne Elliot; Mr Shepherd; Sir Walter Elliot,F,minor,M,intermediate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
00005,Sir Walter Elliot,Mr Shepherd,9,10,as to all that supposing i were induced to let my house i have by no means made up my mind as to the privileges to be annexed to it i am not particularly disposed to favour a tenant the park would be open to him of course and few navy officers or men of any other description can have had such a range but what restrictions i might impose on the use of the pleasure grounds is another thing i am not fond of the idea of my shrubberies being always approachable and i should recommend miss elliot to be on her guard with respect to her flower garden i am very little disposed to grant a tenant of kellynch hall any extraordinary favour i assure you be he sailor or soldier,in all these cases there are established usages which make everything plain and easy between landlord and tenant your interest sir walter is in pretty safe hands depend upon me for taking care that no tenant has more than his just rights i venture to hint that sir walter elliot cannot be half so jealous for his own as john shepherd will be for him,Anne Elliot; Mr Shepherd; Mrs Clay,M,intermediate,M,minor,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
00006,Mr Shepherd,Anne Elliot,10,11,in all these cases there are established usages which make everything plain and easy between landlord and tenant your interest sir walter is in pretty safe hands depend upon me for taking care that no tenant has more than his just rights i venture to hint that sir walter elliot cannot be half so jealous for his own as john shepherd will be for him,the navy i think who have done so much for us have at least an equal claim with any other set of men for all the comforts and all the privileges which any home can give sailors work hard enough for their comforts we must all allow,Anne Elliot; Mrs Clay; Sir Walter Elliot,M,minor,F,major,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
00007,Anne Elliot,Mr Shepherd,11,12,the navy i think who have done so much for us have at least an equal claim with any other set of men for all the comforts and all the privileges which any home can give sailors work hard enough for their comforts we must all allow,very true very true what miss anne says is very true,Mr Shepherd; Mrs Clay; Sir Walter Elliot,F,major,M,minor,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0
00008,Mr Shepherd,Anne Elliot,12,13,very true very true what miss anne says is very true,oh certainly,Anne Elliot; Mrs Clay; Sir Walter Elliot,M,minor,F,major,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
00009,Anne Elliot,Sir Walter Elliot,13,14,oh certainly,the profession has its utility but i should be sorry to see any friend of mine belonging to it,Mr Shepherd; Mrs Clay; Sir Walter Elliot,F,major,M,intermediate,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,0
