character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Anne Elliot,8,13,0.2589977616974185,0.37608696729859653,0.8875,0.9125,F,major
Captain Wentworth,4,3,0.13168142138393832,0.1319323300573299,0.29583333333333334,0.29583333333333334,M,major
Sir Walter Elliot,3,2,0.0761904761904762,0.078125,0.17916666666666667,0.17916666666666667,M,intermediate
Elizabeth,2,2,0.0625,0.0,0.125,0.125,F,minor
Charles Musgrove,3,3,0.0618794326241134,0.0302564102564101,0.11875,0.12083333333333333,M,intermediate
Captain Harville,1,1,0.0499999999999999,0.0111111111111111,0.0,0.0,M,intermediate
Mrs Croft,1,1,0.0466666666666666,0.0166666666666666,0.0,0.0,,
Mary Musgrove,3,2,0.040256410256410094,0.0035460992907801,0.06458333333333333,0.0625,F,intermediate
Louisa Musgrove,1,1,0.027027027027027,0.0347826086956521,0.0,0.0,F,minor
William Walter Elliot,1,1,0.0205128205128205,0.0279503105590061,0.0,0.0,M,minor
Mrs Smith,1,1,0.0204750204750204,0.0375864055299539,0.0,0.0,F,intermediate
Lady Russell,2,1,0.0147058823529411,0.0299999999999999,0.0,0.058333333333333334,F,minor
Admiral Croft,1,1,0.0084388185654008,0.0049019607843137,0.0,0.0,M,intermediate
Mary,2,2,0.0074257425742574,0.0210843373493975,0.0,0.0,,
Mrs Musgrove,1,1,0.0,0.0227272727272727,0.0,0.0,F,intermediate
Mrs Clay,1,1,0.0,0.0,0.0,0.0,F,minor
Mr Shepherd,2,1,0.0,0.0,0.0,0.0,M,minor
