a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Charlotte Lucas,Elizabeth,9,13,100,-0.004584304584304588,-0.0038461538461538503,F,intermediate,F,major
Charlotte Lucas,Mrs. Bennet,8,4,30,-0.020833333333333343,-0.016666666666666673,F,intermediate,F,major
Colonel Fitzwilliam,Elizabeth,9,15,109,-0.01042291042291043,-0.011620795107033646,M,intermediate,F,major
Elizabeth,Charlotte Lucas,9,11,89,0.017424242424242415,0.013278855975485181,F,major,F,intermediate
Elizabeth,Colonel Fitzwilliam,9,15,112,0.003996928996929013,0.001190476190476204,F,major,M,intermediate
Elizabeth,George Wickham,9,34,262,0.010812246247697388,0.01044005388414907,F,major,M,intermediate
Elizabeth,Jane,9,62,434,-0.004225834094750265,-0.0036048758733461944,F,major,F,intermediate
Elizabeth,Lady Catherine De Bourgh,9,35,239,-0.008606296743806092,-0.007890017931858924,F,major,F,intermediate
Elizabeth,Lydia,9,6,50,0.027777777777777776,0.02,F,major,F,intermediate
Elizabeth,Maria,2,3,6,0.0,0.0,F,major,F,minor
Elizabeth,Miss Bingley,4,3,12,0.0,0.0,F,major,F,intermediate
Elizabeth,Mr. Bennet,9,20,147,-0.017149081854964235,-0.01598639455782315,F,major,M,intermediate
Elizabeth,Mr. Bingley,9,6,47,0.025925925925925932,0.01773049645390072,F,major,M,intermediate
Elizabeth,Mr. Collins,9,6,42,-0.06851851851851852,-0.051587301587301584,F,major,M,intermediate
Elizabeth,Mr. Darcy,9,80,552,0.021555934649469057,0.020153985507246387,F,major,M,major
Elizabeth,Mr. Gardiner,8,3,24,0.0,0.0,F,major,M,minor
Elizabeth,Mrs. Bennet,9,13,89,0.09091988258654922,0.0769230769230769,F,major,F,major
Elizabeth,Mrs. Gardiner,9,20,143,-0.01449278466822326,-0.012937062937062937,F,major,F,intermediate
Elizabeth,Mrs. Reynolds,9,4,31,-0.03703703703703704,-0.03225806451612903,F,major,F,minor
George Wickham,Elizabeth,9,34,247,0.011489435280284973,0.010478685401286039,M,intermediate,F,major
Jane,Elizabeth,9,73,511,0.0023284325032012867,0.0020105621531780224,F,intermediate,F,major
Jane,Mrs. Bennet,9,6,49,0.020370370370370386,0.017006802721088447,F,intermediate,F,major
Kitty,Mrs. Bennet,3,3,9,0.0,0.0,F,minor,F,major
Lady Catherine De Bourgh,Elizabeth,9,39,254,-0.006316364408151852,-0.005552190591560675,F,intermediate,F,major
Lady Catherine De Bourgh,Mrs. Bennet,7,4,23,0.07142857142857142,0.06521739130434782,F,intermediate,F,major
Lydia,Elizabeth,9,7,50,0.025396825396825418,0.020000000000000018,F,intermediate,F,major
Lydia,Mrs. Bennet,8,8,44,-0.04583333333333333,-0.031249999999999997,F,intermediate,F,major
Maria,Elizabeth,9,5,37,-0.0018518518518518515,0.005405405405405404,F,minor,F,major
Miss Bingley,Elizabeth,9,8,46,-0.02592592592592592,-0.021739130434782605,F,intermediate,F,major
Miss Bingley,Mr. Bingley,9,11,57,0.009848484848484836,-5.843279076974508e-18,F,intermediate,M,intermediate
Miss Bingley,Mr. Darcy,9,18,135,0.0019260695731284144,0.0016460905349794418,F,intermediate,M,major
Miss Bingley,Mrs. Hurst,5,3,15,0.0,0.0,F,intermediate,F,minor
Mr. Bennet,Elizabeth,9,22,150,0.03173374613003092,0.029393939393939354,M,intermediate,F,major
Mr. Bennet,Kitty,3,3,9,0.0,0.0,M,intermediate,F,minor
Mr. Bennet,Mr. Collins,2,4,7,0.0,0.0,M,intermediate,M,intermediate
Mr. Bennet,Mrs. Bennet,9,38,282,-0.013332211797124072,-0.012224710712952587,M,intermediate,F,major
Mr. Bingley,Elizabeth,9,8,63,0.024603174603174603,0.015873015873015872,M,intermediate,F,major
Mr. Bingley,Miss Bingley,9,10,77,0.0018518518518518515,7.209240419643874e-19,M,intermediate,F,intermediate
Mr. Bingley,Mr. Darcy,9,10,87,0.007407407407407406,0.006896551724137929,M,intermediate,M,major
Mr. Bingley,Mrs. Bennet,9,4,35,-0.009259259259259264,-0.007142857142857146,M,intermediate,F,major
Mr. Collins,Elizabeth,9,9,68,-0.017857142857142842,-0.014705882352941164,M,intermediate,F,major
Mr. Collins,Mr. Bennet,5,3,15,0.0,0.0,M,intermediate,M,intermediate
Mr. Collins,Mrs. Bennet,9,8,63,0.06335978835978834,0.05952380952380949,M,intermediate,F,major
Mr. Darcy,Elizabeth,9,74,489,0.011698841876865256,0.01160669872326314,M,major,F,major
Mr. Darcy,Miss Bingley,9,21,150,0.009712188969154933,0.0019047619047619232,M,major,F,intermediate
Mr. Darcy,Mr. Bingley,9,6,44,-0.007407407407407406,-0.007575757575757574,M,major,M,intermediate
Mr. Darcy,Sir William Lucas,8,4,30,0.031249999999999993,0.02499999999999999,M,major,M,minor
Mr. Gardiner,Elizabeth,9,4,33,0.0,0.0,M,minor,F,major
Mr. Gardiner,Mrs. Gardiner,8,3,24,0.0,0.0,M,minor,F,intermediate
Mr. Gardiner,Mrs. Reynolds,6,4,20,-0.05555555555555558,-0.050000000000000024,M,minor,F,minor
Mrs. Bennet,Charlotte Lucas,5,5,19,0.02999999999999998,0.02105263157894735,F,major,F,intermediate
Mrs. Bennet,Elizabeth,9,17,106,0.08058763132292542,0.06492785793562707,F,major,F,major
Mrs. Bennet,Jane,9,10,66,0.0013227513227513305,-0.0015151515151515097,F,major,F,intermediate
Mrs. Bennet,Lady Catherine De Bourgh,2,3,6,0.0,0.0,F,major,F,intermediate
Mrs. Bennet,Lydia,9,8,63,-0.022619047619047625,-0.017857142857142863,F,major,F,intermediate
Mrs. Bennet,Mr. Bennet,9,38,263,-0.019566049736660526,-0.01781068641184711,F,major,M,intermediate
Mrs. Bennet,Mr. Bingley,9,6,51,-0.007407407407407406,-0.006535947712418299,F,major,M,intermediate
Mrs. Bennet,Mr. Collins,9,10,75,0.005555555555555536,-1.924386576016938e-17,F,major,M,intermediate
Mrs. Gardiner,Elizabeth,9,24,183,0.006974424422937004,0.006147540983606553,F,intermediate,F,major
Mrs. Hurst,Miss Bingley,8,3,24,0.0,0.0,F,minor,F,intermediate
Mrs. Reynolds,Elizabeth,9,7,45,0.03888888888888891,0.02222222222222224,F,minor,F,major
Mrs. Reynolds,Mr. Gardiner,7,3,21,0.0,0.0,F,minor,M,minor
Sir William Lucas,Mr. Darcy,8,5,36,0.01874999999999999,0.011111111111111103,M,minor,M,major
