a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Charlotte Lucas,Elizabeth,8,4,20,0.0,0.0,F,intermediate,F,major
Colonel Fitzwilliam,Elizabeth,6,2,12,0.0,0.0,M,intermediate,F,major
Colonel Fitzwilliam,Mr. Darcy,3,2,6,0.0,0.0,M,intermediate,M,major
Elizabeth,Colonel Fitzwilliam,7,2,14,0.0,0.0,F,major,M,intermediate
Elizabeth,Jane,9,7,34,0.03835978835978837,0.016806722689075643,F,major,F,intermediate
Elizabeth,Lydia,7,2,14,0.0,0.0,F,major,F,intermediate
Elizabeth,Miss Bingley,9,6,37,0.06481481481481483,0.03603603603603604,F,major,F,intermediate
Elizabeth,Mr. Bennet,6,4,18,-0.041666666666666664,-0.013888888888888888,F,major,M,intermediate
Elizabeth,Mr. Bingley,9,4,29,-0.01851851851851854,-0.01724137931034484,F,major,M,intermediate
Elizabeth,Mr. Collins,4,3,11,0.0,0.0,F,major,M,intermediate
Elizabeth,Mr. Darcy,9,5,36,-0.08333333333333334,-0.04444444444444445,F,major,M,major
Elizabeth,Mr. Gardiner,6,3,13,-0.027777777777777773,-0.025641025641025637,F,major,M,minor
Elizabeth,Mrs. Bennet,5,3,12,0.13333333333333336,0.11111111111111112,F,major,F,major
George Wickham,Elizabeth,9,3,27,0.0,0.0,M,intermediate,F,major
Jane,Elizabeth,8,5,24,0.03333333333333331,0.01666666666666665,F,intermediate,F,major
Jane,Mr. Bennet,7,3,18,0.07142857142857142,0.05555555555555555,F,intermediate,M,intermediate
Jane,Mrs. Bennet,4,3,8,0.08333333333333334,0.08333333333333334,F,intermediate,F,major
Kitty,Elizabeth,6,2,12,0.0,0.0,F,minor,F,major
Kitty,Mrs. Bennet,3,2,6,0.0,0.0,F,minor,F,major
Lady Catherine De Bourgh,Mr. Darcy,8,2,16,0.0,0.0,F,intermediate,M,major
Lydia,Jane,5,2,10,0.0,0.0,F,intermediate,F,intermediate
Lydia,Mrs. Bennet,6,3,15,0.08333333333333333,0.06666666666666667,F,intermediate,F,major
Miss Bingley,Elizabeth,8,3,17,-0.020833333333333315,-0.019607843137254884,F,intermediate,F,major
Miss Bingley,Mr. Bingley,8,3,20,0.0,0.0,F,intermediate,M,intermediate
Miss Bingley,Mr. Darcy,9,9,49,-0.05335097001763666,-0.04308390022675735,F,intermediate,M,major
Mr. Bennet,Elizabeth,9,8,54,0.0212962962962963,0.018518518518518517,M,intermediate,F,major
Mr. Bennet,Jane,9,4,27,0.009259259259259252,0.009259259259259248,M,intermediate,F,intermediate
Mr. Bennet,Lydia,8,3,21,6.938893903907228e-18,5.28677630773884e-18,M,intermediate,F,intermediate
Mr. Bennet,Mary,2,2,4,0.0,0.0,M,intermediate,F,minor
Mr. Bennet,Mrs. Bennet,9,5,38,-0.03888888888888889,-0.031578947368421054,M,intermediate,F,major
Mr. Bingley,Elizabeth,9,4,26,0.1388888888888889,0.10576923076923077,M,intermediate,F,major
Mr. Bingley,Miss Bingley,9,3,26,0.0,0.0,M,intermediate,F,intermediate
Mr. Bingley,Mr. Darcy,9,8,61,-0.04497354497354497,-0.030737704918032786,M,intermediate,M,major
Mr. Bingley,Mrs. Bennet,4,2,8,0.0,0.0,M,intermediate,F,major
Mr. Collins,Elizabeth,9,5,38,0.003703703703703703,0.0,M,intermediate,F,major
Mr. Collins,George Wickham,6,2,12,0.0,0.0,M,intermediate,M,intermediate
Mr. Darcy,Elizabeth,9,11,67,0.006517556517556521,0.00542740841248304,M,major,F,major
Mr. Darcy,Miss Bingley,8,3,20,0.10416666666666669,0.08333333333333334,M,major,F,intermediate
Mr. Darcy,Mr. Bingley,9,8,48,0.015608465608465615,0.015625000000000003,M,major,M,intermediate
Mr. Gardiner,Elizabeth,6,3,16,-0.027777777777777773,-0.02083333333333333,M,minor,F,major
Mr. Gardiner,Mrs. Gardiner,7,2,14,0.0,0.0,M,minor,F,intermediate
Mrs. Bennet,Elizabeth,9,13,101,0.0028490028490028387,0.0022848438690022724,F,major,F,major
Mrs. Bennet,Jane,9,4,29,0.027777777777777776,0.017241379310344827,F,major,F,intermediate
Mrs. Bennet,Kitty,4,2,8,0.0,0.0,F,major,F,minor
Mrs. Bennet,Mr. Bennet,9,5,28,-0.03703703703703705,-0.014285714285714294,F,major,M,intermediate
Mrs. Gardiner,Elizabeth,3,2,6,0.0,0.0,F,intermediate,F,major
Mrs. Gardiner,Mr. Gardiner,3,2,6,0.0,0.0,F,intermediate,M,minor
Mrs. Reynolds,Mrs. Gardiner,9,2,18,0.0,0.0,F,minor,F,intermediate
