a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Charlotte Lucas,Elizabeth,9,13,99,0.026757810091143405,0.022533022533022515,F,intermediate,F,major
Charlotte Lucas,Mrs. Bennet,7,4,22,0.07142857142857141,0.06818181818181816,F,intermediate,F,major
Colonel Fitzwilliam,Elizabeth,9,15,113,-0.006032239365572696,-0.004719764011799408,M,intermediate,F,major
Elizabeth,Charlotte Lucas,9,11,70,0.08439955106621772,0.07662337662337662,F,major,F,intermediate
Elizabeth,Colonel Fitzwilliam,9,15,109,0.0037980537980537945,0.004892966360856265,F,major,M,intermediate
Elizabeth,George Wickham,9,34,254,-0.008844158262096367,-0.006484483557202421,F,major,M,intermediate
Elizabeth,Jane,9,62,411,-0.021185110894099565,-0.018091201632524888,F,major,F,intermediate
Elizabeth,Lady Catherine De Bourgh,9,35,235,-0.03268467852717265,-0.025653495440729476,F,major,F,intermediate
Elizabeth,Lydia,9,6,41,0.012962962962962966,0.004065040650406509,F,major,F,intermediate
Elizabeth,Maria,3,3,9,0.0,0.0,F,major,F,minor
Elizabeth,Miss Bingley,7,3,21,0.0,0.0,F,major,F,intermediate
Elizabeth,Mr. Bennet,9,20,145,-0.010914394247727579,-0.011034482758620687,F,major,M,intermediate
Elizabeth,Mr. Bingley,9,6,52,6.1679056923619804e-18,5.337610695313253e-18,F,major,M,intermediate
Elizabeth,Mr. Collins,9,6,46,0.037037037037037056,0.03623188405797103,F,major,M,intermediate
Elizabeth,Mr. Darcy,9,80,530,-0.0150618931924551,-0.012570754716981125,F,major,M,major
Elizabeth,Mr. Gardiner,2,3,6,0.0,0.0,F,major,M,minor
Elizabeth,Mrs. Bennet,9,13,89,-0.002531419198085891,0.006914433880725989,F,major,F,major
Elizabeth,Mrs. Gardiner,9,20,124,-0.032961047666930025,-0.028629032258064516,F,major,F,intermediate
Elizabeth,Mrs. Reynolds,7,4,27,0.03571428571428571,0.027777777777777776,F,major,F,minor
George Wickham,Elizabeth,9,34,249,-0.004957809075456127,-0.004606661941885179,M,intermediate,F,major
Jane,Elizabeth,9,73,510,-0.008504685114480893,-0.007869997313994091,F,intermediate,F,major
Jane,Mrs. Bennet,9,6,48,-0.022222222222222206,-0.02083333333333332,F,intermediate,F,major
Lady Catherine De Bourgh,Elizabeth,9,39,282,-0.01579384402389498,-0.014911802145844722,F,intermediate,F,major
Lady Catherine De Bourgh,Mrs. Bennet,6,4,20,-0.013888888888888895,-0.012500000000000006,F,intermediate,F,major
Lydia,Elizabeth,9,7,39,-0.017724867724867716,-0.021978021978021973,F,intermediate,F,major
Lydia,Mrs. Bennet,9,8,67,-0.010582010582010581,-0.009328358208955223,F,intermediate,F,major
Maria,Elizabeth,8,5,35,0.008333333333333331,0.005714285714285713,F,minor,F,major
Miss Bingley,Elizabeth,9,8,50,-0.04365079365079364,-0.035,F,intermediate,F,major
Miss Bingley,Mr. Bingley,9,11,90,0.011287477954144618,0.0050505050505050475,F,intermediate,M,intermediate
Miss Bingley,Mr. Darcy,9,18,136,0.010158976825643509,0.011437908496732041,F,intermediate,M,major
Miss Bingley,Mrs. Hurst,8,3,24,0.0,0.0,F,intermediate,F,minor
Mr. Bennet,Elizabeth,9,22,157,-0.01776117329522899,-0.013028372900984334,M,intermediate,F,major
Mr. Bennet,Kitty,8,3,24,0.0,0.0,M,intermediate,F,minor
Mr. Bennet,Mr. Collins,4,4,15,0.0,0.0,M,intermediate,M,intermediate
Mr. Bennet,Mrs. Bennet,9,38,268,0.006821248152517513,0.005007855459544396,M,intermediate,F,major
Mr. Bingley,Elizabeth,9,8,61,-0.08465608465608468,-0.07786885245901641,M,intermediate,F,major
Mr. Bingley,Miss Bingley,9,10,68,-0.029761904761904785,-0.001470588235294137,M,intermediate,F,intermediate
Mr. Bingley,Mr. Darcy,9,10,75,-0.035052910052910044,-0.031999999999999994,M,intermediate,M,major
Mr. Bingley,Mrs. Bennet,9,4,35,-0.009259259259259264,-0.007142857142857146,M,intermediate,F,major
Mr. Collins,Elizabeth,9,9,70,0.03910934744268077,0.030158730158730152,M,intermediate,F,major
Mr. Collins,Mr. Bennet,4,3,12,0.0,0.0,M,intermediate,M,intermediate
Mr. Collins,Mrs. Bennet,9,8,47,-0.010317460317460324,-7.086529944415892e-18,M,intermediate,F,major
Mr. Darcy,Elizabeth,9,74,557,0.00016790464345391629,2.426124508709523e-05,M,major,F,major
Mr. Darcy,Miss Bingley,9,21,159,0.015087130218709173,0.015573525007487272,M,major,F,intermediate
Mr. Darcy,Mr. Bingley,8,6,39,-0.020833333333333343,-0.017094017094017103,M,major,M,intermediate
Mr. Darcy,Sir William Lucas,3,4,11,0.0,0.0,M,major,M,minor
Mr. Gardiner,Elizabeth,7,4,22,0.023809523809523798,0.022727272727272717,M,minor,F,major
Mr. Gardiner,Mrs. Gardiner,5,3,15,0.0,0.0,M,minor,F,intermediate
Mr. Gardiner,Mrs. Reynolds,6,4,21,0.0,0.0,M,minor,F,minor
Mrs. Bennet,Charlotte Lucas,9,5,36,-0.03888888888888892,-0.027777777777777804,F,major,F,intermediate
Mrs. Bennet,Elizabeth,9,17,120,-0.047275981099510526,-0.04705882352941178,F,major,F,major
Mrs. Bennet,Jane,8,10,61,0.05892857142857144,0.044262295081967225,F,major,F,intermediate
Mrs. Bennet,Lady Catherine De Bourgh,3,3,9,0.0,0.0,F,major,F,intermediate
Mrs. Bennet,Lydia,8,8,40,0.007291666666666662,0.021875,F,major,F,intermediate
Mrs. Bennet,Mr. Bennet,9,38,292,0.01741555857704861,0.016222062004325858,F,major,M,intermediate
Mrs. Bennet,Mr. Bingley,9,6,43,0.01296296296296296,0.0,F,major,M,intermediate
Mrs. Bennet,Mr. Collins,9,10,74,-0.04215167548500882,-0.04054054054054054,F,major,M,intermediate
Mrs. Gardiner,Elizabeth,9,24,167,-0.05795644414065468,-0.04840319361277447,F,intermediate,F,major
Mrs. Hurst,Miss Bingley,7,3,21,0.0,0.0,F,minor,F,intermediate
Mrs. Reynolds,Elizabeth,8,7,45,-0.014583333333333302,-0.015873015873015848,F,minor,F,major
Mrs. Reynolds,Mr. Gardiner,9,3,27,0.0,0.0,F,minor,M,minor
Sir William Lucas,Mr. Darcy,8,5,31,-0.04791666666666668,-0.038709677419354854,M,minor,M,major
