family,gender,mean_conv
adverbs,F,0.039349816849816845
adverbs,M,0.04493661100803958
articles,F,0.024423237581132323
articles,M,-0.059740259740259725
auxiliary_verbs,F,0.0
auxiliary_verbs,M,-0.004385964912280704
conjunctions,F,-0.048944706087563225
conjunctions,M,0.01892586580086581
impersonal_pronouns,F,0.03663342830009496
impersonal_pronouns,M,0.07846320346320347
negations,F,-0.025844525844525845
negations,M,-0.004752066115702482
personal_pronouns,F,0.01234567901234568
personal_pronouns,M,0.0
prepositions,F,0.00035273368606702224
prepositions,M,-0.0009920634920634946
quantifiers,F,0.015218908076050938
quantifiers,M,0.041919191919191925
