family,gender,mean_conv
adverbs,F,-0.011634847730660253
adverbs,M,-0.02262590945986743
articles,F,0.019334558322431254
articles,M,0.010287839683640783
auxiliary_verbs,F,0.008377000815122397
auxiliary_verbs,M,-0.0015820646529451868
conjunctions,F,-0.02485324729618256
conjunctions,M,-0.01850054102016578
impersonal_pronouns,F,0.0022836301783913347
impersonal_pronouns,M,0.010464286425973728
negations,F,0.005326104248103351
negations,M,-0.07170506763412982
personal_pronouns,F,0.004220856165342945
personal_pronouns,M,0.00853134331395201
prepositions,F,-0.0019340834304417437
prepositions,M,-0.007473622798700198
quantifiers,F,-0.02246935830982476
quantifiers,M,-0.021115107935099086
