family,gender,mean_conv
adverbs,F,0.004359243152474398
adverbs,M,0.0054922298089016015
articles,F,0.021030202889808402
articles,M,0.02873934236883955
auxiliary_verbs,F,-0.001566030368089054
auxiliary_verbs,M,0.005190198382719158
conjunctions,F,-0.0006237142194808018
conjunctions,M,-0.002562443550392627
impersonal_pronouns,F,0.017041251267674848
impersonal_pronouns,M,-0.0026524353198114706
negations,F,0.03290435243721595
negations,M,-0.0067034336114335236
personal_pronouns,F,-0.0018573735298405042
personal_pronouns,M,0.0023748712949462434
prepositions,F,0.0044357962256954915
prepositions,M,-0.00042085440442575354
quantifiers,F,-0.01100458185200986
quantifiers,M,-0.021292959150362178
