family,gender,mean_conv
adverbs,F,-0.009040105193951363
adverbs,M,-0.015119047619047633
articles,F,-0.034965034965034975
articles,M,-0.09444444444444444
auxiliary_verbs,F,-0.007307692307692309
auxiliary_verbs,M,0.0
conjunctions,F,-0.023823612285150765
conjunctions,M,-0.0030864197530864213
impersonal_pronouns,F,0.015636545993688848
impersonal_pronouns,M,-0.02237103174603175
negations,F,0.006563890654799736
negations,M,-0.03666666666666666
personal_pronouns,F,0.006125356125356116
personal_pronouns,M,0.0
prepositions,F,-0.01922244422244421
prepositions,M,-0.013888888888888888
quantifiers,F,0.007136045772409399
quantifiers,M,-0.03985260770975058
