family,gender,mean_conv
adverbs,F,0.013716819916414446
adverbs,M,0.020157267776315397
articles,F,0.00488885994760114
articles,M,-0.017792367998087408
auxiliary_verbs,F,0.0017283469231693116
auxiliary_verbs,M,-7.628946857088118e-05
conjunctions,F,0.0040788313427330665
conjunctions,M,-0.02419977269405156
impersonal_pronouns,F,-0.0034752225552996093
impersonal_pronouns,M,0.0033543021728465296
negations,F,-0.0035882878103002504
negations,M,-0.0007179257353040728
personal_pronouns,F,0.0008213721491919601
personal_pronouns,M,0.0009544072835212121
prepositions,F,-0.004958519868759046
prepositions,M,-0.0025561900953290466
quantifiers,F,-0.02969161302133725
quantifiers,M,-0.03375121925846564
