family,importance,mean_conv
adverbs,intermediate,0.02223639851293103
adverbs,major,0.020414096070868328
adverbs,minor,-0.0028571428571428524
articles,intermediate,0.011045002349972813
articles,major,0.028536740963746227
articles,minor,0.02566137566137567
auxiliary_verbs,intermediate,0.005074519913899326
auxiliary_verbs,major,0.00030666505943473347
auxiliary_verbs,minor,0.0
conjunctions,intermediate,0.010485045890231416
conjunctions,major,0.01099305681557088
conjunctions,minor,-0.02023809523809524
impersonal_pronouns,intermediate,0.020401042717725842
impersonal_pronouns,major,0.03977913174626928
impersonal_pronouns,minor,0.046825396825396826
negations,intermediate,-0.004717121492065845
negations,major,0.10277313716621495
negations,minor,0.06458333333333333
personal_pronouns,intermediate,-0.00027176450382133743
personal_pronouns,major,0.0036454767550502753
personal_pronouns,minor,0.007142857142857145
prepositions,intermediate,-0.001843296158015799
prepositions,major,0.008089310287056995
prepositions,minor,0.015584415584415584
quantifiers,intermediate,0.006334529360463528
quantifiers,major,0.03243006986474301
quantifiers,minor,0.03306878306878307
