family,importance,mean_conv
adverbs,intermediate,0.03367036066991878
adverbs,major,0.02138359063854781
adverbs,minor,-0.052857142857142846
articles,intermediate,0.009912634132777836
articles,major,0.0047625072550359976
articles,minor,-0.057671957671957666
auxiliary_verbs,intermediate,-0.0005181330471746865
auxiliary_verbs,major,0.003452190510994672
auxiliary_verbs,minor,0.0
conjunctions,intermediate,0.007574417069640921
conjunctions,major,-0.012404955086552347
conjunctions,minor,-0.02023809523809524
impersonal_pronouns,intermediate,0.008487903873923425
impersonal_pronouns,major,-0.0025614772362253712
impersonal_pronouns,minor,-0.025396825396825393
negations,intermediate,0.005314053155813604
negations,major,-0.010832359363809876
negations,minor,0.002083333333333326
personal_pronouns,intermediate,0.0001803267411087838
personal_pronouns,major,-0.0005280615926929878
personal_pronouns,minor,0.007142857142857145
prepositions,intermediate,-0.004814801166872248
prepositions,major,-0.004216988183625037
prepositions,minor,-0.002597402597402593
quantifiers,intermediate,-0.05889426988062305
quantifiers,major,0.00365753944087479
quantifiers,minor,-0.059523809523809534
