family,importance,mean_conv
adverbs,intermediate,-0.0038084012004553267
adverbs,major,0.015407994418863405
adverbs,minor,-0.016666666666666673
articles,intermediate,0.024874022062539837
articles,major,0.032570684181415274
articles,minor,-0.125
auxiliary_verbs,intermediate,0.0018746159226224845
auxiliary_verbs,major,-0.000537618435231981
auxiliary_verbs,minor,0.0
conjunctions,intermediate,-0.02363224936716257
conjunctions,major,0.013606471952458751
conjunctions,minor,0.013888888888888876
impersonal_pronouns,intermediate,0.0023598008769983906
impersonal_pronouns,major,0.02028194336254902
impersonal_pronouns,minor,0.0
negations,intermediate,0.021681750983838396
negations,major,0.022656947186885216
negations,minor,-1.3877787807814457e-17
personal_pronouns,intermediate,0.0022446280153261043
personal_pronouns,major,-0.00019550002410833773
personal_pronouns,minor,-0.01190476190476191
prepositions,intermediate,-0.0113749973650285
prepositions,major,0.014845379126895986
prepositions,minor,0.0
quantifiers,intermediate,-0.03095814213860753
quantifiers,major,-0.0005263981589388669
quantifiers,minor,-0.016666666666666673
