family,importance,mean_conv
adverbs,intermediate,0.03915343915343915
adverbs,major,0.011854055035873197
adverbs,minor,0.0
articles,intermediate,-0.009126984126984131
articles,major,-0.039475171293353095
auxiliary_verbs,intermediate,-0.005952380952380955
auxiliary_verbs,major,0.0
conjunctions,intermediate,-0.00797619047619047
conjunctions,major,-0.021192973692973696
impersonal_pronouns,intermediate,0.03880952380952378
impersonal_pronouns,major,0.01450062283395617
negations,intermediate,0.01785714285714285
negations,major,-0.024189005439005436
personal_pronouns,intermediate,0.0
personal_pronouns,major,0.0
prepositions,intermediate,0.008928571428571428
prepositions,major,-0.011111111111111118
quantifiers,intermediate,0.013333333333333341
quantifiers,major,0.013312613312613322
