family,importance,mean_conv
adverbs,intermediate,0.017914892148991265
adverbs,major,0.0071709317906674085
adverbs,minor,0.037037037037037035
articles,intermediate,0.02577931678264706
articles,major,-0.01794395102234777
articles,minor,-0.031249999999999993
auxiliary_verbs,intermediate,0.0036355299590399995
auxiliary_verbs,major,-0.0007532857999374827
auxiliary_verbs,minor,0.0
conjunctions,intermediate,-0.007796489218098019
conjunctions,major,-0.006787165173073276
conjunctions,minor,0.01190476190476191
impersonal_pronouns,intermediate,-0.02414716529517289
impersonal_pronouns,major,-0.001778519300312581
impersonal_pronouns,minor,0.09722222222222222
negations,intermediate,-0.007238259052775173
negations,major,-0.0052332951061624874
negations,minor,0.02777777777777778
personal_pronouns,intermediate,-0.0004768499806772075
personal_pronouns,major,0.00254570223724603
personal_pronouns,minor,0.0
prepositions,intermediate,-0.004498098728174634
prepositions,major,-0.0052248661285701735
prepositions,minor,0.0
quantifiers,intermediate,-0.01623330452298682
quantifiers,major,-0.0490282918440405
quantifiers,minor,0.0
