pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00000,Mrs. Bennet,Mr. Bennet,0,1,my dear mr bennet have you heard that netherfield park is let at last but it is for mrs long has just been here and she told me all about it do not you want to know who has taken it,you want to tell me and i have no objection to hearing it,Mr. Bennet,F,major,M,intermediate,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0
00001,Mr. Bennet,Mrs. Bennet,1,2,you want to tell me and i have no objection to hearing it,why my dear you must know mrs long says that netherfield is taken by a young man of large fortune from the north of england that he came down on monday in a chaise and four to see the place and was so much delighted with it that he agreed with mr morris immediately that he is to take possession before michaelmas and some of his servants are to be in the house by the end of next week,Mrs. Bennet,M,intermediate,F,major,0,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1
00002,Mrs. Bennet,Mr. Bennet,2,3,why my dear you must know mrs long says that netherfield is taken by a young man of large fortune from the north of england that he came down on monday in a chaise and four to see the place and was so much delighted with it that he agreed with mr morris immediately that he is to take possession before michaelmas and some of his servants are to be in the house by the end of next week,what is his name,Mr. Bennet,F,major,M,intermediate,1,1,1,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0
00003,Mr. Bennet,Mrs. Bennet,5,6,is he married or single,oh single my dear to be sure a single man of large fortune four or five thousand a year what a fine thing for our girls,Mrs. Bennet,M,intermediate,F,major,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1
00004,Mrs. Bennet,Mr. Bennet,6,7,oh single my dear to be sure a single man of large fortune four or five thousand a year what a fine thing for our girls,how so how can it affect them,Mr. Bennet,F,major,M,intermediate,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,1,0,0
00005,Mr. Bennet,Mrs. Bennet,7,8,how so how can it affect them,my dear mr bennet how can you be so tiresome you must know that i am thinking of his marrying one of them,Mrs. Bennet,M,intermediate,F,major,0,1,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1
00006,Mrs. Bennet,Mr. Bennet,8,9,my dear mr bennet how can you be so tiresome you must know that i am thinking of his marrying one of them,is that his design in settling here,Mr. Bennet,F,major,M,intermediate,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,0
00007,Mr. Bennet,Mrs. Bennet,9,10,is that his design in settling here,design nonsense how can you talk so but it is very likely that he may fall in love with one of them and therefore you must visit him as soon as he comes,Mrs. Bennet,M,intermediate,F,major,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,1,1,1
00008,Mrs. Bennet,Mr. Bennet,10,11,design nonsense how can you talk so but it is very likely that he may fall in love with one of them and therefore you must visit him as soon as he comes,i see no occasion for that you and the girls may go or you may send them by themselves which perhaps will be still better for as you are as handsome as any of them mr bingley might like you the best of the party,Mr. Bennet,F,major,M,intermediate,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0
00009,Mr. Bennet,Mrs. Bennet,11,12,i see no occasion for that you and the girls may go or you may send them by themselves which perhaps will be still better for as you are as handsome as any of them mr bingley might like you the best of the party,my dear you flatter me i certainly have had my share of beauty but i do not pretend to be any thing extraordinary now when a woman has five grown up daughters she ought to give over thinking of her own beauty,Mrs. Bennet,M,intermediate,F,major,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
00010,Mrs. Bennet,Mr. Bennet,12,13,my dear you flatter me i certainly have had my share of beauty but i do not pretend to be any thing extraordinary now when a woman has five grown up daughters she ought to give over thinking of her own beauty,in such cases a woman has not often much beauty to think of,Mr. Bennet,F,major,M,intermediate,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1
00011,Mr. Bennet,Mrs. Bennet,13,14,in such cases a woman has not often much beauty to think of,but my dear you must indeed go and see mr bingley when he comes into the neighbourhood,Mrs. Bennet,M,intermediate,F,major,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,1,0
00012,Mrs. Bennet,Mr. Bennet,14,15,but my dear you must indeed go and see mr bingley when he comes into the neighbourhood,it is more than i engage for i assure you,Mr. Bennet,F,major,M,intermediate,1,1,1,1,0,0,1,1,0,0,1,1,0,1,0,1,1,1
00013,Mr. Bennet,Mrs. Bennet,15,16,it is more than i engage for i assure you,but consider your daughters only think what an establishment it would be for one of them sir william and lady lucas are determined to go merely on that account for in general you know they visit no new comers indeed you must go for it will be impossible for us to visit him if you do not,Mrs. Bennet,M,intermediate,F,major,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
00014,Mrs. Bennet,Mr. Bennet,16,17,but consider your daughters only think what an establishment it would be for one of them sir william and lady lucas are determined to go merely on that account for in general you know they visit no new comers indeed you must go for it will be impossible for us to visit him if you do not,you are over scrupulous surely i dare say mr bingley will be very glad to see you and i will send a few lines by you to assure him of my hearty consent to his marrying which ever he chuses of the girls though i must throw in a good word for my little lizzy,Mr. Bennet,F,major,M,intermediate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
00015,Mr. Bennet,Mrs. Bennet,17,18,you are over scrupulous surely i dare say mr bingley will be very glad to see you and i will send a few lines by you to assure him of my hearty consent to his marrying which ever he chuses of the girls though i must throw in a good word for my little lizzy,i desire you will do no such thing lizzy is not a bit better than the others and i am sure she is not half so handsome as jane nor half so good humoured as lydia but you are always giving her the preference,Mrs. Bennet,M,intermediate,F,major,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
00016,Mrs. Bennet,Mr. Bennet,18,19,i desire you will do no such thing lizzy is not a bit better than the others and i am sure she is not half so handsome as jane nor half so good humoured as lydia but you are always giving her the preference,they have none of them much to recommend them they are all silly and ignorant like other girls but lizzy has something more of quickness than her sisters,Mr. Bennet,F,major,M,intermediate,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1
00017,Mr. Bennet,Mrs. Bennet,19,20,they have none of them much to recommend them they are all silly and ignorant like other girls but lizzy has something more of quickness than her sisters,mr bennet how can you abuse your own children in such a way you take delight in vexing me you have no compassion on my poor nerves,Mrs. Bennet,M,intermediate,F,major,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,0
00018,Mrs. Bennet,Mr. Bennet,20,21,mr bennet how can you abuse your own children in such a way you take delight in vexing me you have no compassion on my poor nerves,you mistake me my dear i have a high respect for your nerves they are my old friends i have heard you mention them with consideration these twenty years at least,Mr. Bennet,F,major,M,intermediate,1,1,0,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1
00019,Mr. Bennet,Mrs. Bennet,21,22,you mistake me my dear i have a high respect for your nerves they are my old friends i have heard you mention them with consideration these twenty years at least,ah you do not know what i suffer,Mrs. Bennet,M,intermediate,F,major,1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0
00020,Mrs. Bennet,Mr. Bennet,22,23,ah you do not know what i suffer,but i hope you will get over it and live to see many young men of four thousand a year come into the neighbourhood,Mr. Bennet,F,major,M,intermediate,0,1,0,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1
00021,Mr. Bennet,Mrs. Bennet,23,24,but i hope you will get over it and live to see many young men of four thousand a year come into the neighbourhood,it will be no use to us if twenty such should come since you will not visit them,Mrs. Bennet,M,intermediate,F,major,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1
00022,Mrs. Bennet,Mr. Bennet,24,25,it will be no use to us if twenty such should come since you will not visit them,depend upon it my dear that when there are twenty i will visit them all,Mr. Bennet,F,major,M,intermediate,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1
00023,Mr. Bennet,Mrs. Bennet,26,27,i hope mr bingley will like it lizzy,we are not in a way to know what mr bingley likes since we are not to visit,Elizabeth; Kitty; Lydia; Mary; Mrs. Bennet,M,intermediate,F,major,0,1,0,0,1,0,1,1,0,1,1,1,0,1,1,1,1,0
