pair_id,a_speaker,b_speaker,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category,a_articles,a_auxiliary_verbs,a_conjunctions,a_adverbs,a_impersonal_pronouns,a_negations,a_personal_pronouns,a_prepositions,a_quantifiers,b_articles,b_auxiliary_verbs,b_conjunctions,b_adverbs,b_impersonal_pronouns,b_negations,b_personal_pronouns,b_prepositions,b_quantifiers
00000,Mrs. Bennet,Mr. Bennet,0,15,my dear mr bennet have you heard that netherfield park is let at last but it is for mrs long has just been here and she told me all about it do not you want to know who has taken it,it is more than i engage for i assure you,Mr. Bennet,F,major,M,intermediate,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1
00001,Mrs. Bennet,Mr. Bennet,2,23,why my dear you must know mrs long says that netherfield is taken by a young man of large fortune from the north of england that he came down on monday in a chaise and four to see the place and was so much delighted with it that he agreed with mr morris immediately that he is to take possession before michaelmas and some of his servants are to be in the house by the end of next week,but i hope you will get over it and live to see many young men of four thousand a year come into the neighbourhood,Mr. Bennet,F,major,M,intermediate,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1
00002,Mrs. Bennet,Mr. Bennet,6,30,oh single my dear to be sure a single man of large fortune four or five thousand a year what a fine thing for our girls,no more have i and i am glad to find that you do not depend on her serving you,Mr. Bennet,F,major,M,intermediate,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1
00003,Mrs. Bennet,Mr. Bennet,8,447,my dear mr bennet how can you be so tiresome you must know that i am thinking of his marrying one of them,i have not the pleasure of understanding you of what are you talking,Mr. Bennet,F,major,M,intermediate,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0
00004,Mrs. Bennet,Mr. Bennet,10,13,design nonsense how can you talk so but it is very likely that he may fall in love with one of them and therefore you must visit him as soon as he comes,in such cases a woman has not often much beauty to think of,Mr. Bennet,F,major,M,intermediate,0,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,1
00005,Mrs. Bennet,Mr. Bennet,12,25,my dear you flatter me i certainly have had my share of beauty but i do not pretend to be any thing extraordinary now when a woman has five grown up daughters she ought to give over thinking of her own beauty,depend upon it my dear that when there are twenty i will visit them all,Mr. Bennet,F,major,M,intermediate,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
00006,Mrs. Bennet,Mr. Bennet,14,44,but my dear you must indeed go and see mr bingley when he comes into the neighbourhood,now kitty you may cough as much as you chuse,Mr. Bennet,F,major,M,intermediate,1,1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1
00007,Mrs. Bennet,Mr. Bennet,16,458,but consider your daughters only think what an establishment it would be for one of them sir william and lady lucas are determined to go merely on that account for in general you know they visit no new comers indeed you must go for it will be impossible for us to visit him if you do not,my dear i have two small favours to request first that you will allow me the free use of my understanding on the present occasion and secondly of my room i shall be glad to have the library to myself as soon as may be,Mr. Bennet,F,major,M,intermediate,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
00008,Mrs. Bennet,Mr. Bennet,18,32,i desire you will do no such thing lizzy is not a bit better than the others and i am sure she is not half so handsome as jane nor half so good humoured as lydia but you are always giving her the preference,kitty has no discretion in her coughs she times them ill,Mr. Bennet,F,major,M,intermediate,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1,0
00009,Mrs. Bennet,Mr. Bennet,20,492,mr bennet how can you abuse your own children in such a way you take delight in vexing me you have no compassion on my poor nerves,my dear do not give way to such gloomy thoughts let us hope for better things let us flatter ourselves that i may be the survivor,Mr. Bennet,F,major,M,intermediate,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,0
