character,out_degree,in_degree,adaptability_out_strength,adaptability_in_strength,betweenness,betweenness_weighted,gender,category
Elizabeth,16,16,0.3566144888164294,0.36165293214965394,0.7690058479532164,0.8362573099415205,F,major
Mrs. Bennet,8,9,0.1758141723939202,0.23881650273395671,0.11842105263157894,0.26608187134502925,F,major
Mr. Darcy,4,4,0.12844339209885408,0.09732235653050429,0.10526315789473684,0.10526315789473684,M,major
Mr. Bingley,4,4,0.1025223843320856,0.1428253119429588,0.017543859649122806,0.36257309941520466,M,intermediate
Lady Catherine De Bourgh,2,2,0.0981294412971431,0.0441558441558441,0.0,0.0,F,intermediate
Lydia,2,2,0.0796081111870585,0.1047619047619047,0.0,0.07017543859649122,F,intermediate
Jane,2,2,0.0753969140971346,0.0804932075093365,0.0,0.0,F,intermediate
Charlotte Lucas,2,2,0.06621263352032569,0.0143611227482195,0.0,0.0,F,intermediate
Miss Bingley,4,4,0.057303097929999894,0.0344364611516247,0.10526315789473684,0.10526315789473684,F,intermediate
Mrs. Reynolds,2,2,0.0457142857142857,0.0,0.0,0.0,F,minor
Colonel Fitzwilliam,1,1,0.0361370716510903,0.0026936026936026,0.0,0.0,M,intermediate
Maria,1,1,0.0342857142857142,0.0,0.0,0.0,F,minor
George Wickham,1,1,0.0235042735042735,0.030920060331825,0.0,0.0,M,intermediate
Mr. Collins,3,3,0.0230022709530905,0.0527304964539007,0.0,0.0,M,intermediate
Mrs. Gardiner,1,2,0.0186011904761904,0.0144295302013422,0.0,0.0,F,intermediate
Mr. Gardiner,3,2,0.0151515151515151,0.0,0.0014619883040935672,0.0,M,minor
Mr. Bennet,4,3,0.013357256778309423,0.0524211030449687,0.05263157894736842,0.05263157894736842,M,intermediate
Sir William Lucas,1,1,0.0055555555555555,0.0833333333333333,0.0,0.0,M,minor
Kitty,1,1,0.0,0.0,0.0,0.0,F,minor
Mrs. Hurst,1,1,0.0,0.0,0.0,0.0,F,minor
