a_speaker,b_speaker,w_ab,w_ba
Charlotte Lucas,Elizabeth,-0.0038461538461538,0.0132788559754851
Charlotte Lucas,Mrs. Bennet,-0.0166666666666666,0.0210526315789473
Colonel Fitzwilliam,Elizabeth,-0.0116207951070336,0.0011904761904762
Elizabeth,Charlotte Lucas,0.0132788559754851,-0.0038461538461538
Elizabeth,Colonel Fitzwilliam,0.0011904761904762,-0.0116207951070336
Elizabeth,George Wickham,0.010440053884149,0.010478685401286
Elizabeth,Jane,-0.0036048758733461,0.002010562153178
Elizabeth,Lady Catherine De Bourgh,-0.0078900179318589,-0.0055521905915606
Elizabeth,Lydia,0.02,0.02
Elizabeth,Maria,0.0,0.0054054054054054
Elizabeth,Miss Bingley,0.0,-0.0217391304347826
Elizabeth,Mr. Bennet,-0.0159863945578231,0.0293939393939393
Elizabeth,Mr. Bingley,0.0177304964539007,0.0158730158730158
Elizabeth,Mr. Collins,-0.0515873015873015,-0.0147058823529411
Elizabeth,Mr. Darcy,0.0201539855072463,0.0116066987232631
Elizabeth,Mr. Gardiner,0.0,0.0
Elizabeth,Mrs. Bennet,0.0769230769230769,0.064927857935627
Elizabeth,Mrs. Gardiner,-0.0129370629370629,0.0061475409836065
Elizabeth,Mrs. Reynolds,-0.032258064516129,0.0222222222222222
George Wickham,Elizabeth,0.010478685401286,0.010440053884149
Jane,Elizabeth,0.002010562153178,-0.0036048758733461
Jane,Mrs. Bennet,0.0170068027210884,-0.0015151515151515
Lady Catherine De Bourgh,Elizabeth,-0.0055521905915606,-0.0078900179318589
Lady Catherine De Bourgh,Mrs. Bennet,0.0652173913043478,0.0
Lydia,Elizabeth,0.02,0.02
Lydia,Mrs. Bennet,-0.0312499999999999,-0.0178571428571428
Maria,Elizabeth,0.0054054054054054,0.0
Miss Bingley,Elizabeth,-0.0217391304347826,0.0
Miss Bingley,Mr. Bingley,-5.8432790769745086e-18,7.209240419643874e-19
Miss Bingley,Mr. Darcy,0.0016460905349794,0.0019047619047619
Miss Bingley,Mrs. Hurst,0.0,0.0
Mr. Bennet,Elizabeth,0.0293939393939393,-0.0159863945578231
Mr. Bennet,Mr. Collins,0.0,0.0
Mr. Bennet,Mrs. Bennet,-0.0122247107129525,-0.0178106864118471
Mr. Bingley,Elizabeth,0.0158730158730158,0.0177304964539007
Mr. Bingley,Miss Bingley,7.209240419643874e-19,-5.8432790769745086e-18
Mr. Bingley,Mr. Darcy,0.0068965517241379,-0.0075757575757575
Mr. Bingley,Mrs. Bennet,-0.0071428571428571,-0.0065359477124182
Mr. Collins,Elizabeth,-0.0147058823529411,-0.0515873015873015
Mr. Collins,Mr. Bennet,0.0,0.0
Mr. Collins,Mrs. Bennet,0.0595238095238094,-1.9243865760169378e-17
Mr. Darcy,Elizabeth,0.0116066987232631,0.0201539855072463
Mr. Darcy,Miss Bingley,0.0019047619047619,0.0016460905349794
Mr. Darcy,Mr. Bingley,-0.0075757575757575,0.0068965517241379
Mr. Darcy,Sir William Lucas,0.0249999999999999,0.0111111111111111
Mr. Gardiner,Elizabeth,0.0,0.0
Mr. Gardiner,Mrs. Reynolds,-0.05,0.0
Mrs. Bennet,Charlotte Lucas,0.0210526315789473,-0.0166666666666666
Mrs. Bennet,Elizabeth,0.064927857935627,0.0769230769230769
Mrs. Bennet,Jane,-0.0015151515151515,0.0170068027210884
Mrs. Bennet,Lady Catherine De Bourgh,0.0,0.0652173913043478
Mrs. Bennet,Lydia,-0.0178571428571428,-0.0312499999999999
Mrs. Bennet,Mr. Bennet,-0.0178106864118471,-0.0122247107129525
Mrs. Bennet,Mr. Bingley,-0.0065359477124182,-0.0071428571428571
Mrs. Bennet,Mr. Collins,-1.9243865760169378e-17,0.0595238095238094
Mrs. Gardiner,Elizabeth,0.0061475409836065,-0.0129370629370629
Mrs. Hurst,Miss Bingley,0.0,0.0
Mrs. Reynolds,Elizabeth,0.0222222222222222,-0.032258064516129
Mrs. Reynolds,Mr. Gardiner,0.0,-0.05
Sir William Lucas,Mr. Darcy,0.0111111111111111,0.0249999999999999
