pair,adverbs,articles,auxiliary_verbs,conjunctions,impersonal_pronouns,negations,personal_pronouns,prepositions,quantifiers
Charlotte Lucas→Elizabeth,0.0357142857142857,,0.0,0.0844155844155843,-0.0238095238095237,,-0.0054945054945054,-0.0357142857142857,
Colonel Fitzwilliam→Elizabeth,-0.0615384615384615,-0.0787878787878788,0.0,,0.0499999999999999,,0.0,0.0,
Elizabeth→Charlotte Lucas,,,0.0,,,,0.0,,
Elizabeth→Colonel Fitzwilliam,-0.0666666666666666,,0.0,0.0333333333333333,-0.0307692307692307,,0.0,0.0,
Elizabeth→George Wickham,0.0804232804232804,0.0857142857142857,0.0226600985221675,-0.0150375939849624,0.0537815126050419,0.0153846153846154,-0.005911330049261,0.0742857142857142,-0.1178571428571428
Elizabeth→Jane,0.0221774193548387,0.1738351254480287,0.0072302558398219,-0.0049627791563274,0.0497311827956988,0.033724340175953,-0.0032804811372334,-0.0103686635944699,0.0889164598842018
Elizabeth→Lady Catherine De Bourgh,0.0235294117647058,0.1660714285714285,0.0285714285714285,-0.0390977443609023,0.0285714285714285,0.0857142857142857,-0.0036866359447004,0.0285714285714285,0.1238095238095238
Elizabeth→Mr. Bennet,0.05,,-0.0026315789473684,0.0999999999999999,0.0,,-0.0055555555555555,0.0285714285714285,
Elizabeth→Mr. Darcy,-0.0333333333333333,0.0325980392156862,-0.0019230769230769,-0.0066176470588235,0.0618644067796609,0.1162735849056603,0.0120253164556962,0.0005136986301369,0.0232142857142857
Elizabeth→Mrs. Bennet,,,0.0,,-0.0692307692307693,,0.0,0.0,
Elizabeth→Mrs. Gardiner,0.0447368421052631,0.0499999999999999,0.0,0.025,-0.05,0.0142857142857143,0.0,0.0124999999999999,0.0428571428571429
George Wickham→Elizabeth,0.0362637362637362,0.05,0.0199134199134198,0.0357142857142857,0.0214285714285714,-0.031578947368421,-0.0050420168067227,0.0190476190476189,0.0228571428571428
Jane→Elizabeth,-0.0034246575342465,0.0462791558681969,0.00695468914647,-0.0115729806329711,0.0803343394474112,0.0097471022128556,0.0121103831645821,-0.0116230801162308,0.0365296803652968
Lady Catherine De Bourgh→Elizabeth,0.0289495450785773,0.119106699751861,0.0242914979757083,0.0608974358974359,0.0654288240495136,0.0487179487179487,-0.0026990553306343,0.020242914979757,0.0512820512820512
Miss Bingley→Mr. Bingley,,,0.0,,,,0.0,,
Miss Bingley→Mr. Darcy,0.0079365079365079,0.0170940170940171,-0.0065359477124182,0.0,0.0598290598290598,,0.0,0.0,0.1581196581196581
Mr. Bennet→Elizabeth,-0.0353535353535353,-0.0333333333333333,-0.0021645021645022,-0.0272727272727273,0.0284090909090908,0.0664335664335664,-0.0064935064935065,-0.0227272727272727,0.0625
Mr. Bennet→Mrs. Bennet,0.1456876456876457,-0.0199430199430199,0.0,0.0384615384615385,0.0186480186480185,0.0076923076923076,-0.0013495276653171,0.0168498168498167,0.0546265328874023
Mr. Bingley→Miss Bingley,,,0.0,,0.0,,0.0,,
Mr. Bingley→Mr. Darcy,,,0.0,,,,0.0,0.0,
Mr. Darcy→Elizabeth,-0.031871494135645,0.0576236613972462,-0.0035771065182829,0.010135135135135,-0.0316165221825599,0.1021021021021021,-0.0003753753753753,0.002956081081081,0.0202702702702702
Mr. Darcy→Miss Bingley,-0.0416666666666666,,-0.0100250626566416,-0.1309523809523809,0.0562770562770563,,0.0,-0.0224089635854342,
Mrs. Bennet→Elizabeth,0.0452488687782804,0.0294117647058823,0.0,0.0367647058823529,0.0084033613445377,0.0862745098039214,0.0,0.0,0.0802139037433155
Mrs. Bennet→Jane,,,0.0,,,,,0.0,
Mrs. Bennet→Mr. Bennet,0.0427350427350428,-0.0890688259109312,-0.0021367521367521,0.0239867659222497,0.0265567765567765,0.0071794871794872,-0.0013860013860013,0.0168498168498167,-0.0858416945373466
Mrs. Gardiner→Elizabeth,-0.0083333333333334,0.1174242424242424,0.0,0.0654761904761904,0.0166666666666666,-0.0625,0.0,0.0238095238095237,0.0608974358974359
