a_speaker,b_speaker,n_features,n_pairs,n_triggers_total,mean_conv,mean_conv_w,a_gender,a_category,b_gender,b_category
Anne Steele,Elinor,9,9,62,0.02319223985890653,0.014336917562724013,F,intermediate,F,major
Anne Steele,Lucy Steele,9,7,50,-0.004497354497354469,-0.005714285714285685,F,intermediate,F,intermediate
Charlotte,Elinor,9,10,78,0.05405643738977073,0.04743589743589744,F,intermediate,F,major
Charlotte,Mr. Palmer,8,6,36,0.02083333333333333,0.018518518518518514,F,intermediate,M,minor
Colonel Brandon,Elinor,9,20,148,0.005283066892974013,0.008108108108108103,M,intermediate,F,major
Colonel Brandon,Mrs. Jennings,9,9,52,-0.0012345679012345512,1.2810265668751807e-17,M,intermediate,F,intermediate
Edward Ferrars,Elinor,9,15,119,0.017963517963517934,0.014565826330532184,M,intermediate,F,major
Edward Ferrars,Marianne,9,18,124,-0.008873162059436557,-0.0008960573476702325,M,intermediate,F,major
Edward Ferrars,Mrs. Dashwood,9,5,37,0.007407407407407406,0.010810810810810808,M,intermediate,F,intermediate
Elinor,Anne Steele,9,10,70,0.022971781305114618,0.022857142857142836,F,major,F,intermediate
Elinor,Charlotte,9,10,67,0.05974426807760139,0.044776119402985044,F,major,F,intermediate
Elinor,Colonel Brandon,9,21,155,-0.015650435258278386,-0.016589861751152065,F,major,M,intermediate
Elinor,Edward Ferrars,9,17,102,-0.0016287996680153238,2.503444075135157e-17,F,major,M,intermediate
Elinor,John Dashwood,9,21,150,0.0130375167010874,0.012380952380952387,F,major,M,intermediate
Elinor,Lucy Steele,9,34,239,0.013705448509370092,0.015874969234555763,F,major,F,intermediate
Elinor,Margaret,1,3,3,0.0,0.0,F,major,F,minor
Elinor,Marianne,9,63,461,-0.011963379717475915,-0.010604965051819713,F,major,F,major
Elinor,Mr. Willoughby,9,38,284,0.0165375705292702,0.01417716827279465,F,major,M,intermediate
Elinor,Mrs. Dashwood,9,20,166,0.01487979207277453,0.013855421686746987,F,major,F,intermediate
Elinor,Mrs. Jennings,9,22,147,-0.03432943236864808,-0.03215831787260361,F,major,F,intermediate
Fanny,John Dashwood,9,12,89,-0.027216610549943867,-0.02340823970037452,F,minor,M,intermediate
John Dashwood,Elinor,9,21,158,-0.0018179351512684781,-0.0012055455093429705,M,intermediate,F,major
John Dashwood,Fanny,9,13,96,-0.024963308296641656,-0.023237179487179516,M,intermediate,F,minor
John Dashwood,Mrs. Jennings,8,6,35,0.10416666666666667,0.07142857142857142,M,intermediate,F,intermediate
John Middleton,Colonel Brandon,3,3,9,0.0,0.0,M,intermediate,M,intermediate
John Middleton,Elinor,8,4,30,0.03125,0.025,M,intermediate,F,major
John Middleton,Lady Middleton,4,3,12,0.0,0.0,M,intermediate,F,minor
John Middleton,Marianne,9,4,33,-0.027777777777777783,-0.02272727272727273,M,intermediate,F,major
John Middleton,Mrs. Dashwood,5,3,15,0.0,0.0,M,intermediate,F,intermediate
John Middleton,Mrs. Jennings,7,3,21,0.0,0.0,M,intermediate,F,intermediate
Lady Middleton,Mrs. Jennings,1,3,3,0.0,0.0,F,minor,F,intermediate
Lucy Steele,Anne Steele,9,4,33,-0.027777777777777783,-0.02272727272727273,F,intermediate,F,intermediate
Lucy Steele,Elinor,9,35,261,0.006041048479705806,0.0074438970990695075,F,intermediate,F,major
Lucy Steele,Mrs. Jennings,4,3,12,0.0,0.0,F,intermediate,F,intermediate
Margaret,Marianne,5,3,15,0.0,0.0,F,minor,F,major
Marianne,Edward Ferrars,9,15,124,0.003977503977503997,0.004301075268817223,F,major,M,intermediate
Marianne,Elinor,9,69,492,-0.008630954733401993,-0.007688229056203615,F,major,F,major
Marianne,John Middleton,8,5,34,-0.025000000000000022,-0.023529411764705903,F,major,M,intermediate
Marianne,Margaret,6,3,18,0.0,0.0,F,major,F,minor
Marianne,Mr. Willoughby,4,3,12,0.0,0.0,F,major,M,intermediate
Marianne,Mrs. Dashwood,9,10,79,-0.01878306878306879,-0.018987341772151903,F,major,F,intermediate
Mr. Palmer,Charlotte,9,5,42,-0.01111111111111112,-0.009523809523809532,M,minor,F,intermediate
Mr. Willoughby,Elinor,9,36,264,0.003589805414187371,0.0023148148148148437,M,intermediate,F,major
Mr. Willoughby,Marianne,9,5,42,-0.02222222222222223,-0.019047619047619053,M,intermediate,F,major
