family,gender,mean_conv
adverbs,F,-0.0005639029416466453
adverbs,M,0.011704394676530885
articles,F,-0.004822424073300316
articles,M,0.03203048170153433
auxiliary_verbs,F,0.006837384909271563
auxiliary_verbs,M,-0.0002855958970510053
conjunctions,F,0.008896881792901606
conjunctions,M,0.034929899129243956
impersonal_pronouns,F,0.0052338577296788
impersonal_pronouns,M,0.001351654999567901
negations,F,0.054283651530571506
negations,M,-0.025182103471577153
personal_pronouns,F,-9.571734836603568e-05
personal_pronouns,M,-0.0005211441301666735
prepositions,F,-0.003108416367928969
prepositions,M,0.012127822931147038
quantifiers,F,0.03407805700382727
quantifiers,M,-0.0492108510684362
