family,gender,mean_conv
adverbs,F,0.015701659451659456
adverbs,M,0.0
articles,F,0.006884920634920635
articles,M,0.0
auxiliary_verbs,F,-0.0009920634920634885
auxiliary_verbs,M,0.0
conjunctions,F,-0.04223238882329791
conjunctions,M,-0.011111111111111108
impersonal_pronouns,F,0.006703514739229021
impersonal_pronouns,M,0.021428571428571436
negations,F,-0.05396825396825398
negations,M,-0.0023809523809523725
personal_pronouns,F,-0.001831501831501825
personal_pronouns,M,0.0
prepositions,F,-0.026388888888888906
prepositions,M,0.0
quantifiers,F,-0.0003086419753086532
quantifiers,M,0.044444444444444474
