family,gender,mean_conv
adverbs,F,-0.015244123514724362
adverbs,M,-0.01246544450064086
articles,F,-0.01771099032873964
articles,M,-0.015454787658735033
auxiliary_verbs,F,0.006797486251861384
auxiliary_verbs,M,-0.0032267723676392412
conjunctions,F,0.014135820088905123
conjunctions,M,-0.01411489980093084
impersonal_pronouns,F,-0.01949181083799208
impersonal_pronouns,M,-0.05038616656583987
negations,F,0.06177737741072398
negations,M,-0.004133707423181103
personal_pronouns,F,-0.0018285410653473319
personal_pronouns,M,0.0021243585153359677
prepositions,F,0.005278682644170047
prepositions,M,-0.012934833710456973
quantifiers,F,0.018341346377473172
quantifiers,M,0.03954929945642022
