family,gender,mean_conv
adverbs,F,0.0246913659817484
adverbs,M,0.018395662358510673
articles,F,0.03728264044223949
articles,M,-0.04164906472956008
auxiliary_verbs,F,0.00017196420729029271
auxiliary_verbs,M,-0.0018624306550003022
conjunctions,F,0.019913267883329894
conjunctions,M,0.0022395668620405684
impersonal_pronouns,F,0.028908810258238035
impersonal_pronouns,M,0.0141891304430004
negations,F,0.0016798089649166371
negations,M,-0.0028710119525392854
personal_pronouns,F,0.0014474937746313638
personal_pronouns,M,-0.002198699992817632
prepositions,F,0.007527932075756654
prepositions,M,-0.0016567153177060273
quantifiers,F,-0.01073072988902886
quantifiers,M,-0.013631846500783553
