family,gender,mean_conv
adverbs,F,-0.014682539682539686
adverbs,M,0.09166666666666667
articles,F,-0.0882446918161204
articles,M,-0.041666666666666685
auxiliary_verbs,F,-0.001253132832080196
auxiliary_verbs,M,0.0
conjunctions,F,0.013822387929530802
conjunctions,M,-0.041666666666666685
impersonal_pronouns,F,0.009844322344322342
impersonal_pronouns,M,-0.05833333333333335
negations,F,-0.01419413919413919
negations,M,-0.11666666666666667
personal_pronouns,F,-0.002941176470588238
personal_pronouns,M,-0.011111111111111108
prepositions,F,-0.009068477818477813
prepositions,M,-0.041666666666666685
quantifiers,F,-0.02981601731601731
quantifiers,M,0.041666666666666685
