family,gender,mean_conv
adverbs,F,-0.007367695456183005
adverbs,M,0.01869328140612972
articles,F,-0.0035443584777385658
articles,M,-0.05189760274125599
auxiliary_verbs,F,-0.0009441072212811347
auxiliary_verbs,M,0.00030207150950186035
conjunctions,F,0.013526185601222993
conjunctions,M,-0.0146255125030388
impersonal_pronouns,F,-0.0035871977393373638
impersonal_pronouns,M,-0.0016300177290889395
negations,F,-0.02641904691171702
negations,M,0.007049622968095631
personal_pronouns,F,0.0021018509908818472
personal_pronouns,M,-0.002198699992817632
prepositions,F,0.006432987925256951
prepositions,M,0.00631522345780418
quantifiers,F,0.017579246912102983
quantifiers,M,-0.03829071589649506
