family,importance,mean_conv
adverbs,intermediate,0.004115294878372852
adverbs,major,-0.014049960769649313
adverbs,minor,-0.005555555555555536
articles,intermediate,-0.011811401446494616
articles,major,0.00392251472073791
articles,minor,-0.013888888888888876
auxiliary_verbs,intermediate,0.00016948374791511678
auxiliary_verbs,major,-0.0013990744407847238
auxiliary_verbs,minor,-0.002525252525252523
conjunctions,intermediate,0.011436059280042758
conjunctions,major,-0.016984690317659104
conjunctions,minor,-0.008333333333333304
impersonal_pronouns,intermediate,0.03126262733509111
impersonal_pronouns,major,0.0432487619884326
impersonal_pronouns,minor,-0.038888888888888896
negations,intermediate,-0.0015617368556176928
negations,major,0.002368785325441672
negations,minor,0.04814814814814813
personal_pronouns,intermediate,-0.0009389871353604219
personal_pronouns,major,0.006311750071416246
personal_pronouns,minor,0.0
prepositions,intermediate,-0.00570281487535486
prepositions,major,-0.006397722958802254
prepositions,minor,-0.007575757575757569
quantifiers,intermediate,-0.010475061583026506
quantifiers,major,0.006727344721195687
quantifiers,minor,-0.1375
