family,importance,mean_conv
adverbs,intermediate,-0.022222222222222216
adverbs,major,0.029629629629629617
adverbs,minor,0.0
articles,intermediate,-0.1014109347442681
articles,major,-0.06767676767676768
articles,minor,0.0
auxiliary_verbs,intermediate,-0.001831501831501825
auxiliary_verbs,major,0.0
auxiliary_verbs,minor,0.0
conjunctions,intermediate,0.02310405643738979
conjunctions,major,-0.01629273504273504
conjunctions,minor,0.0
impersonal_pronouns,intermediate,0.023333333333333324
impersonal_pronouns,major,-0.035363247863247856
negations,intermediate,-0.014153439153439147
negations,major,-0.0580952380952381
negations,minor,0.0
personal_pronouns,intermediate,0.0
personal_pronouns,major,-0.01190476190476191
personal_pronouns,minor,0.0
prepositions,intermediate,-0.010548941798941799
prepositions,major,-0.017139804639804634
prepositions,minor,0.0
quantifiers,intermediate,-0.07414965986394557
quantifiers,major,0.04573412698412698
