family,importance,mean_conv
adverbs,intermediate,-0.0011129720577241385
adverbs,major,-0.02468124987006167
adverbs,minor,-0.008333333333333304
articles,intermediate,0.0017882008467046812
articles,major,-0.039228975147335615
articles,minor,-0.08333333333333337
auxiliary_verbs,intermediate,-0.001029684601113174
auxiliary_verbs,major,0.0001564795825463594
auxiliary_verbs,minor,0.0
conjunctions,intermediate,0.007001871577378178
conjunctions,major,0.012284452559430559
conjunctions,minor,-0.07045454545454549
impersonal_pronouns,intermediate,-0.008230491241511578
impersonal_pronouns,major,-0.010607600074264338
impersonal_pronouns,minor,0.0
negations,intermediate,-0.013091545752001226
negations,major,-0.025636810188062038
negations,minor,0.08333333333333337
personal_pronouns,intermediate,0.0020248099239695934
personal_pronouns,major,-0.0014584439057872137
personal_pronouns,minor,0.0
prepositions,intermediate,0.0029070732281328013
prepositions,major,0.0021600407015639773
prepositions,minor,0.033333333333333326
quantifiers,intermediate,0.022655306985017137
quantifiers,major,-0.024527654030976734
quantifiers,minor,0.0
